2017-08-29 13:45 Tue // ['809844', '642150', '0'] // ['ZBU7', '157.06', '156.24', '157.00', '158.04', '156.26', '357899', '240724', '0'] // [['ZBU7', '157.06', '156.24', '157.00', '158.04', '156.26', '357899', '240724', '0'], ['ZBZ7', '155.31', '155.17', '155.25', '156.28', '155.20', '240703', '569118', '0'], ['ZBH8', '', '154.26', '', '', '', '0', '2', '0']]
2017-08-30 13:45 Wed // ['798122', '701950', '2768'] // ['ZBU7', '156.31', '156.30', '157.01', '157.08', '156.23', '183113', '125357', '2768'] // [['ZBU7', '156.31', '156.30', '157.01', '157.08', '156.23', '183113', '125357', '2768'], ['ZBZ7', '155.23', '155.22', '155.26', '155.31', '155.15', '176797', '672763', '0'], ['ZBH8', '', '154.31', '', '', '', '0', '2', '0']]
2017-08-31 13:45 Thu // ['787693', '415463', '0'] // ['ZBZ7', '155.28', '155.21', '155.27', '156.07', '155.15', '168433', '714197', '0'] // [['ZBU7', '157.06', '156.29', '157.04', '157.16', '156.24', '42487', '73494', '0'], ['ZBZ7', '155.28', '155.21', '155.27', '156.07', '155.15', '168433', '714197', '0'], ['ZBH8', '', '154.30', '', '', '', '0', '2', '0']]
2017-09-01 13:45 Fri // ['766272', '335040', '0'] // ['ZBZ7', '155.09', '156.03', '156.05', '156.12', '154.30', '235883', '720569', '0'] // [['ZBU7', '156.19', '157.12', '157.14', '158.00', '156.07', '21093', '45701', '0'], ['ZBZ7', '155.09', '156.03', '156.05', '156.12', '154.30', '235883', '720569', '0'], ['ZBH8', '', '155.11', '', '', '', '0', '2', '0']]
2017-09-04 13:45 Mon // ['762098', '298468', '0'] // ['ZBZ7', '155.19', '155.06', '155.19', '155.23', '155.11', '22856', '727370', '0'] // [['ZBU7', '156.29', '156.15', '156.27', '157.00', '156.21', '1671', '34726', '0'], ['ZBZ7', '155.19', '155.06', '155.19', '155.23', '155.11', '22856', '727370', '0'], ['ZBH8', '', '154.14', '', '', '', '2', '2', '0'], ['ZBM8', '', '', '', '', '', '0', '', '']]
2017-09-05 13:45 Tue // ['759873', '298468', '0'] // ['ZBZ7', '156.28', '155.06', '155.19', '157.03', '155.05', '264088', '725684', '0'] // [['ZBU7', '158.05', '156.15', '156.27', '158.13', '156.15', '11600', '34187', '0'], ['ZBZ7', '156.28', '155.06', '155.19', '157.03', '155.05', '264088', '725684', '0'], ['ZBH8', '', '154.14', '', '', '', '2', '2', '0'], ['ZBM8', '', '', '', '', '', '0', '', '']]
2017-09-06 13:45 Wed // ['753180', '354088', '0'] // ['ZBZ7', '156.19', '157.00', '157.06', '157.12', '156.13', '190921', '724074', '0'] // [['ZBU7', '157.30', '158.09', '158.14', '158.21', '157.24', '5164', '29104', '0'], ['ZBZ7', '156.19', '157.00', '157.06', '157.12', '156.13', '190921', '724074', '0'], ['ZBH8', '', '156.02', '', '', '', '0', '2', '0'], ['ZBM8', '', '', '', '', '', '0', '', '']]
2017-09-07 13:45 Thu // ['750012', '267391', '0'] // ['ZBZ7', '157.11', '156.11', '156.12', '157.30', '156.11', '237149', '724401', '0'] // [['ZBU7', '158.19', '157.20', '157.22', '159.07', '157.21', '3123', '25609', '0'], ['ZBZ7', '157.11', '156.11', '156.12', '157.30', '156.11', '237149', '724401', '0'], ['ZBH8', '', '155.13', '', '', '', '0', '2', '0'], ['ZBM8', '', '', '', '', '', '0', '', '']]
2017-09-08 13:45 Fri // ['745026', '292753', '0'] // ['ZBZ7', '157.04', '157.12', '157.23', '158.09', '157.01', '203720', '722794', '0'] // [['ZBU7', '158.14', '158.21', '158.31', '159.16', '158.12', '2363', '22230', '0'], ['ZBZ7', '157.04', '157.12', '157.23', '158.09', '157.01', '203720', '722794', '0'], ['ZBH8', '', '156.14', '', '', '', '0', '2', '0'], ['ZBM8', '', '0', '', '', '', '0', '', '']]
2017-09-11 13:45 Mon // ['743592', '260558', '0'] // ['ZBZ7', '155.28', '157.09', '156.25', '156.29', '155.27', '160755', '724420', '0'] // [['ZBU7', '157.06', '158.18', '158.04', '158.05', '157.06', '4394', '19170', '0'], ['ZBZ7', '155.28', '157.09', '156.25', '156.29', '155.27', '160755', '724420', '0'], ['ZBH8', '', '156.11', '', '', '', '0', '2', '0'], ['ZBM8', '', '0', '', '', '', '0', '', '']]
2017-09-12 13:45 Tue // ['743199', '210578', '0'] // ['ZBZ7', '155.05', '156.00', '155.31', '156.03', '155.02', '170904', '727756', '0'] // [['ZBU7', '156.14', '157.09', '157.11', '157.11', '156.13', '1333', '15441', '0'], ['ZBZ7', '155.05', '156.00', '155.31', '156.03', '155.02', '170904', '727756', '0'], ['ZBH8', '', '155.02', '', '', '', '0', '2', '0'], ['ZBM8', '', '0', '', '', '', '0', '', '']]
2017-09-13 13:45 Wed // ['742862', '214792', '0'] // ['ZBZ7', '155.01', '155.08', '155.08', '155.18', '154.29', '175111', '728101', '0'] // [['ZBU7', '156.12', '156.17', '156.15', '156.28', '156.07', '2139', '14759', '0'], ['ZBZ7', '155.01', '155.08', '155.08', '155.18', '154.29', '175111', '728101', '0'], ['ZBH8', '', '154.10', '', '', '', '0', '2', '0'], ['ZBM8', '', '0', '', '', '', '0', '', '']]
2017-09-14 13:45 Thu // ['747465', '235089', '0'] // ['ZBZ7', '154.29', '154.26', '154.29', '155.08', '154.12', '229274', '735302', '0'] // [['ZBU7', '156.06', '156.03', '156.09', '156.15', '155.22', '2201', '12161', '0'], ['ZBZ7', '154.29', '154.26', '154.29', '155.08', '154.12', '229274', '735302', '0'], ['ZBH8', '', '153.28', '', '', '', '0', '2', '0'], ['ZBM8', '', '0', '', '', '', '0', '', '']]
2017-09-15 13:45 Fri // ['736091', '283177', '0'] // ['ZBZ7', '155.01', '154.31', '155.10', '155.15', '154.24', '200518', '725235', '0'] // [['ZBU7', '156.10', '156.08', '156.20', '156.24', '156.02', '689', '10854', '0'], ['ZBZ7', '155.01', '154.31', '155.10', '155.15', '154.24', '200518', '725235', '0'], ['ZBH8', '', '154.01', '', '', '', '0', '2', '0'], ['ZBM8', '', '0', '', '', '', '0', '', '']]
2017-09-19 13:45 Tue // ['733128', '183742', '0'] // ['ZBZ7', '154.06', '154.11', '154.15', '154.23', '154.02', '161516', '724785', '0'] // [['ZBU7', '155.12', '155.20', '155.26', '155.31', '155.12', '2755', '8340', '0'], ['ZBZ7', '154.06', '154.11', '154.15', '154.23', '154.02', '161516', '724785', '0'], ['ZBH8', '', '153.08', '', '', '', '0', '3', '0'], ['ZBM8', '', '0', '', '', '', '0', '', '']]
2017-09-20 13:45 Wed // ['723358', '219659', '0'] // ['ZBZ7', '154.05', '154.04', '154.02', '154.14', '153.29', '137154', '717393', '0'] // [['ZBU7', '155.10', '155.13', '155.15', '155.20', '155.08', '2707', '5959', '0'], ['ZBZ7', '154.05', '154.04', '154.02', '154.14', '153.29', '137154', '717393', '0'], ['ZBH8', '152.28', '153.01', '152.17', '152.28', '152.12', '80', '6', '0'], ['ZBM8', '', '0', '', '', '', '0', '', '']]
2017-09-21 13:45 Thu // ['718604', '273622', '0'] // ['ZBZ7', '153.29', '153.24', '153.29', '154.17', '153.21', '191952', '715100', '0'] // [['ZBZ7', '153.29', '153.24', '153.29', '154.17', '153.21', '191952', '715100', '0'], ['ZBH8', '152.24', '152.15', '152.24', '152.24', '152.24', '2', '48', '0'], ['ZBM8', '', '152.15', '', '', '', '0', '', '']]
2017-09-22 13:45 Fri // ['718631', '248906', '0'] // ['ZBZ7', '154.06', '153.28', '153.30', '154.19', '153.29', '177249', '715126', '0'] // [['ZBZ7', '154.06', '153.28', '153.30', '154.19', '153.29', '177249', '715126', '0'], ['ZBH8', '153.04', '152.19', '153.02', '153.04', '153.02', '15', '49', '0'], ['ZBM8', '', '152.06', '', '', '', '0', '', '']]
2017-09-25 13:45 Mon // ['714735', '230705', '0'] // ['ZBZ7', '154.27', '154.03', '154.08', '155.04', '154.02', '232396', '711230', '0'] // [['ZBZ7', '154.27', '154.03', '154.08', '155.04', '154.02', '232396', '711230', '0'], ['ZBH8', '', '152.26', '', '', '', '0', '49', '0'], ['ZBM8', '', '152.13', '', '', '', '0', '', '']]
2017-09-27 13:45 Wed // ['719328', '229045', '0'] // ['ZBZ7', '153.02', '154.25', '154.21', '154.25', '152.30', '317347', '715819', '0'] // [['ZBZ7', '153.02', '154.25', '154.21', '154.25', '152.30', '317347', '715819', '0'], ['ZBH8', '', '153.19', '', '', '', '1', '53', '0'], ['ZBM8', '', '153.06', '', '', '', '0', '', '']]
2017-09-28 13:45 Thu // ['723566', '405280', '0'] // ['ZBZ7', '152.20', '152.30', '152.29', '153.04', '152.01', '282931', '720058', '0'] // [['ZBZ7', '152.20', '152.30', '152.29', '153.04', '152.01', '282931', '720058', '0'], ['ZBH8', '151.13', '151.25', '151.09', '151.13', '151.06', '6', '52', '0'], ['ZBM8', '', '151.12', '', '', '', '0', '', '']]
2017-09-29 13:45 Fri // ['708816', '351343', '0'] // ['ZBZ7', '152.25', '152.25', '152.24', '152.31', '152.12', '240872', '708762', '0'] // [['ZBZ7', '152.25', '152.25', '152.24', '152.31', '152.12', '240872', '708762', '0'], ['ZBH8', '151.19', '151.20', '151.17', '151.19', '151.17', '14', '54', '0'], ['ZBM8', '', '151.07', '', '', '', '0', '', '']]
2017-10-02 13:45 Mon // ['712722', '364808', '0'] // ['ZBZ7', '152.19', '152.26', '152.22', '153.04', '152.02', '203972', '712658', '0'] // [['ZBZ7', '152.19', '152.26', '152.22', '153.04', '152.02', '203972', '712658', '0'], ['ZBH8', '151.20', '151.21', '151.18', '151.20', '151.18', '2', '64', '0'], ['ZBM8', '', '151.08', '', '', '', '0', '', '']]
2017-10-03 13:45 Tue // ['721842', '263766', '0'] // ['ZBZ7', '152.16', '152.22', '152.18', '152.26', '152.00', '180984', '721776', '0'] // [['ZBZ7', '152.16', '152.22', '152.18', '152.26', '152.00', '180984', '721776', '0'], ['ZBH8', '151.12', '151.17', '150.28', '151.12', '150.28', '3', '66', '0'], ['ZBM8', '', '151.04', '', '', '', '0', '', '']]
2017-10-04 13:45 Wed // ['730334', '241968', '0'] // ['ZBZ7', '152.16', '152.20', '152.26', '153.08', '152.06', '191131', '730265', '0'] // [['ZBZ7', '152.16', '152.20', '152.26', '153.08', '152.06', '191131', '730265', '0'], ['ZBH8', '151.08', '151.14', '151.18', '151.28', '151.08', '5', '69', '0'], ['ZBM8', '', '151.01', '', '', '', '0', '', '']]
2017-10-05 13:45 Thu // ['734340', '232374', '0'] // ['ZBZ7', '152.07', '152.18', '152.24', '152.30', '152.01', '181383', '734271', '0'] // [['ZBZ7', '152.07', '152.18', '152.24', '152.30', '152.01', '181383', '734271', '0'], ['ZBH8', '150.31', '151.12', '151.20', '151.20', '150.31', '12', '69', '0'], ['ZBM8', '', '150.31', '', '', '', '0', '', '']]
2017-10-06 13:45 Fri // ['742163', '221338', '0'] // ['ZBZ7', '151.31', '152.08', '152.09', '152.12', '151.07', '289966', '742103', '0'] // [['ZBZ7', '151.31', '152.08', '152.09', '152.12', '151.07', '289966', '742103', '0'], ['ZBH8', '150.26', '151.02', '150.20', '151.02', '150.15', '55', '60', '0'], ['ZBM8', '', '150.21', '', '', '', '0', '', '']]
