2017-08-29 13:45 Tue // ['1423991', '323279', '0'] // ['ZCZ7', '348.4', '351.0', '350.6', '351.0', '347.0', '155187', '790370', '0'] // [['ZCU7', '333.4', '336.0', '335.4', '336.0', '332.0', '76652', '130442', '0'], ['ZCZ7', '348.4', '351.0', '350.6', '351.0', '347.0', '155187', '790370', '0'], ['ZCH8', '361.4', '364.0', '364.0', '364.0', '360.0', '24484', '241743', '0'], ['ZCK8', '368.6', '371.2', '371.0', '371.0', '367.4', '8115', '53739', '0'], ['ZCN8', '375.4', '378.0', '377.6', '377.6', '374.0', '13958', '106409', '0'], ['ZCU8', '382.0', '384.2', '384.2', '384.2', '380.4', '1921', '27351', '0'], ['ZCZ8', '390.6', '393.0', '392.2', '392.4', '389.0', '6606', '68915', '0'], ['ZCH9', '400.2', '402.0', '401.0', '401.0', '398.6', '375', '1816', '0'], ['ZCK9', '405.2', '407.0', '405.2', '405.2', '404.6', '180', '503', '0'], ['ZCN9', '409.6', '411.6', '410.0', '410.0', '409.2', '335', '918', '0'], ['ZCU9', '', '404.4', '', '', '', '0', '232', '0'], ['ZCZ9', '404.6', '405.4', '403.0', '405.0', '403.0', '169', '1553', '0']]
2017-08-30 13:45 Wed // ['1373874', '411821', '0'] // ['ZCZ7', '346.0', '348.6', '348.2', '349.2', '345.2', '187938', '781645', '0'] // [['ZCU7', '330.2', '333.4', '333.0', '334.0', '329.4', '127406', '79003', '0'], ['ZCZ7', '346.0', '348.6', '348.2', '349.2', '345.2', '187938', '781645', '0'], ['ZCH8', '358.6', '361.4', '361.2', '362.0', '358.2', '31086', '245469', '0'], ['ZCK8', '366.2', '369.0', '368.6', '369.4', '365.6', '7763', '55084', '0'], ['ZCN8', '372.4', '375.6', '375.2', '376.0', '372.0', '13251', '111163', '0'], ['ZCU8', '378.6', '382.0', '381.6', '382.2', '378.4', '1805', '27581', '0'], ['ZCZ8', '387.4', '390.6', '390.2', '390.6', '387.2', '6251', '68721', '0'], ['ZCH9', '397.4', '400.0', '398.4', '398.6', '397.4', '393', '1997', '0'], ['ZCK9', '', '405.2', '', '', '', '26', '526', '0'], ['ZCN9', '407.4', '410.2', '408.0', '408.2', '407.2', '82', '820', '0'], ['ZCU9', '', '402.6', '', '', '', '12', '232', '0'], ['ZCZ9', '402.0', '403.6', '403.6', '403.6', '402.0', '99', '1633', '0']]
2017-08-31 13:45 Thu // ['1315393', '475457', '0'] // ['ZCZ7', '355.2', '345.4', '345.0', '355.4', '344.2', '209827', '781731', '0'] // [['ZCU7', '339.2', '329.4', '329.2', '339.4', '328.4', '12056', '12742', '0'], ['ZCZ7', '355.2', '345.4', '345.0', '355.4', '344.2', '209827', '781731', '0'], ['ZCH8', '367.6', '358.2', '358.2', '368.0', '357.2', '55498', '248481', '0'], ['ZCK8', '375.0', '365.6', '365.4', '375.2', '364.6', '11771', '56725', '0'], ['ZCN8', '381.2', '372.2', '372.0', '381.4', '371.0', '24810', '112337', '0'], ['ZCU8', '387.4', '378.6', '378.4', '387.4', '377.6', '3640', '28110', '0'], ['ZCZ8', '396.0', '387.2', '387.0', '396.0', '386.2', '12039', '69597', '0'], ['ZCH9', '405.2', '397.4', '397.4', '405.2', '397.2', '252', '2329', '0'], ['ZCK9', '410.2', '402.6', '408.6', '410.2', '408.6', '64', '533', '0'], ['ZCN9', '414.6', '407.4', '408.0', '415.0', '407.2', '46', '885', '0'], ['ZCU9', '401.4', '400.6', '401.4', '401.4', '401.4', '29', '238', '0'], ['ZCZ9', '406.6', '401.4', '402.0', '406.6', '401.2', '234', '1685', '0']]
2017-09-01 13:45 Fri // ['1316468', '429227', '0'] // ['ZCZ7', '354.0', '357.6', '357.0', '360.6', '353.2', '148708', '781766', '0'] // [['ZCU7', '339.0', '342.2', '341.4', '345.4', '338.0', '6743', '6780', '0'], ['ZCZ7', '354.0', '357.6', '357.0', '360.6', '353.2', '148708', '781766', '0'], ['ZCH8', '367.0', '370.4', '369.6', '373.0', '365.6', '50365', '251026', '0'], ['ZCK8', '374.4', '377.6', '377.0', '380.0', '373.2', '9821', '57807', '0'], ['ZCN8', '380.6', '384.0', '383.4', '386.0', '379.6', '11435', '113614', '0'], ['ZCU8', '386.6', '390.0', '389.4', '391.6', '386.0', '1566', '28041', '0'], ['ZCZ8', '395.2', '398.2', '397.4', '400.0', '394.0', '4898', '71609', '0'], ['ZCH9', '405.2', '408.0', '409.0', '409.0', '405.2', '20', '2414', '0'], ['ZCK9', '410.0', '413.0', '413.0', '413.0', '410.0', '56', '549', '0'], ['ZCN9', '415.0', '417.6', '415.6', '415.6', '415.0', '23', '882', '0'], ['ZCU9', '', '408.2', '', '', '', '12', '239', '0'], ['ZCZ9', '406.6', '408.6', '408.6', '409.6', '405.2', '23', '1741', '0']]
2017-09-04 13:45 Mon // ['1332133', '287884', '0'] // [] // [['ZCU7', '', '340.0', '', '', '', '0', '4682', '0'], ['ZCZ7', '', '355.2', '', '', '', '0', '795599', '0'], ['ZCH8', '', '367.6', '', '', '', '0', '252749', '0'], ['ZCK8', '', '375.2', '', '', '', '0', '59054', '0'], ['ZCN8', '', '381.6', '', '', '', '0', '114057', '0'], ['ZCU8', '', '388.0', '', '', '', '0', '28327', '0'], ['ZCZ8', '', '396.4', '', '', '', '0', '71799', '0'], ['ZCH9', '', '406.2', '', '', '', '0', '2428', '0'], ['ZCK9', '', '411.2', '', '', '', '0', '574', '0'], ['ZCN9', '', '415.6', '', '', '', '0', '884', '0'], ['ZCU9', '', '406.6', '', '', '', '0', '239', '0'], ['ZCZ9', '', '408.4', '', '', '', '0', '1741', '0']]
2017-09-05 13:45 Tue // ['1331047', '287884', '0'] // ['ZCZ7', '357.4', '355.2', '354.6', '360.4', '354.6', '111139', '794649', '0'] // [['ZCU7', '344.2', '340.0', '343.2', '345.6', '341.2', '4394', '4697', '0'], ['ZCZ7', '357.4', '355.2', '354.6', '360.4', '354.6', '111139', '794649', '0'], ['ZCH8', '370.0', '367.6', '367.4', '373.2', '367.4', '29488', '252598', '0'], ['ZCK8', '377.2', '375.2', '374.6', '380.4', '374.6', '7798', '59054', '0'], ['ZCN8', '383.4', '381.6', '381.0', '386.6', '381.0', '9407', '114057', '0'], ['ZCU8', '390.2', '388.0', '388.6', '393.0', '388.6', '631', '28327', '0'], ['ZCZ8', '398.0', '396.4', '395.4', '401.0', '395.4', '3706', '71799', '0'], ['ZCH9', '409.0', '406.2', '405.2', '410.2', '405.2', '63', '2428', '0'], ['ZCK9', '414.0', '411.2', '413.0', '415.0', '413.0', '41', '574', '0'], ['ZCN9', '418.4', '415.6', '415.6', '419.0', '415.6', '182', '884', '0'], ['ZCU9', '', '406.6', '', '', '', '0', '239', '0'], ['ZCZ9', '409.6', '408.4', '408.4', '410.0', '408.4', '18', '1741', '0']]
2017-09-06 13:45 Wed // ['1337632', '227372', '0'] // ['ZCZ7', '359.4', '358.4', '357.4', '361.2', '356.0', '95028', '799417', '0'] // [['ZCU7', '346.0', '344.2', '343.6', '347.0', '342.0', '2389', '2981', '0'], ['ZCZ7', '359.4', '358.4', '357.4', '361.2', '356.0', '95028', '799417', '0'], ['ZCH8', '372.2', '371.0', '370.2', '373.6', '368.6', '19125', '251997', '0'], ['ZCK8', '379.6', '378.4', '378.2', '381.4', '376.2', '8212', '59695', '0'], ['ZCN8', '386.2', '385.0', '384.0', '387.4', '382.6', '9591', '115122', '0'], ['ZCU8', '392.2', '391.2', '390.0', '393.4', '389.0', '991', '28533', '0'], ['ZCZ8', '400.4', '400.0', '398.6', '401.6', '397.4', '4251', '73871', '0'], ['ZCH9', '410.4', '409.6', '408.0', '410.6', '408.0', '30', '2490', '0'], ['ZCK9', '415.2', '414.6', '413.2', '416.0', '413.2', '41', '604', '0'], ['ZCN9', '420.0', '419.0', '417.0', '420.0', '417.0', '18', '945', '0'], ['ZCU9', '407.0', '409.0', '407.0', '407.0', '407.0', '1', '239', '0'], ['ZCZ9', '410.2', '410.6', '407.6', '410.4', '407.6', '39', '1738', '0']]
2017-09-07 13:45 Thu // ['1345159', '198618', '0'] // ['ZCZ7', '358.0', '361.0', '360.0', '360.2', '356.0', '90591', '805431', '0'] // [['ZCU7', '344.2', '347.0', '346.6', '346.6', '342.2', '919', '2316', '0'], ['ZCZ7', '358.0', '361.0', '360.0', '360.2', '356.0', '90591', '805431', '0'], ['ZCH8', '370.4', '373.4', '372.6', '373.0', '368.4', '16890', '249239', '0'], ['ZCK8', '378.0', '381.0', '381.0', '381.0', '376.2', '4506', '59979', '0'], ['ZCN8', '384.4', '387.4', '387.4', '387.4', '382.6', '7757', '117734', '0'], ['ZCU8', '390.6', '393.2', '392.2', '393.0', '388.6', '2006', '28806', '0'], ['ZCZ8', '399.0', '401.4', '400.2', '401.0', '396.6', '6424', '75578', '0'], ['ZCH9', '408.0', '411.0', '410.0', '410.6', '407.2', '79', '2501', '0'], ['ZCK9', '412.4', '415.4', '411.6', '412.4', '411.6', '37', '627', '0'], ['ZCN9', '416.4', '419.6', '418.2', '418.2', '416.2', '15', '948', '0'], ['ZCU9', '411.0', '409.4', '411.0', '411.0', '411.0', '1', '238', '0'], ['ZCZ9', '409.2', '410.6', '411.4', '411.4', '408.2', '23', '1762', '0']]
2017-09-08 13:45 Fri // ['1352748', '194177', '0'] // ['ZCZ7', '357.0', '355.2', '355.2', '358.6', '355.0', '85948', '807511', '0'] // [['ZCU7', '344.2', '341.6', '342.2', '345.4', '342.2', '671', '1624', '0'], ['ZCZ7', '357.0', '355.2', '355.2', '358.6', '355.0', '85948', '807511', '0'], ['ZCH8', '369.4', '367.6', '367.6', '371.0', '367.6', '30421', '247708', '0'], ['ZCK8', '377.2', '375.4', '375.4', '378.4', '375.4', '13409', '63169', '0'], ['ZCN8', '383.4', '381.6', '382.0', '384.6', '382.0', '7379', '119062', '0'], ['ZCU8', '389.4', '388.0', '388.2', '390.4', '388.2', '1578', '29091', '0'], ['ZCZ8', '398.0', '396.2', '396.2', '399.0', '396.2', '3069', '78470', '0'], ['ZCH9', '407.6', '406.0', '407.0', '408.4', '407.0', '37', '2539', '0'], ['ZCK9', '412.6', '410.6', '412.6', '412.6', '412.6', '4', '630', '0'], ['ZCN9', '417.0', '415.0', '417.0', '417.0', '417.0', '2', '945', '0'], ['ZCU9', '', '406.2', '', '', '', '0', '239', '0'], ['ZCZ9', '409.2', '407.4', '409.2', '409.2', '409.2', '18', '1760', '0']]
2017-09-11 13:45 Mon // ['1351922', '197069', '0'] // ['ZCZ7', '357.0', '356.6', '356.4', '359.2', '354.6', '86514', '803092', '0'] // [['ZCU7', '344.6', '344.2', '345.2', '346.4', '342.6', '714', '1157', '0'], ['ZCZ7', '357.0', '356.6', '356.4', '359.2', '354.6', '86514', '803092', '0'], ['ZCH8', '369.2', '369.0', '369.0', '371.4', '367.2', '30629', '243408', '0'], ['ZCK8', '377.0', '376.6', '377.0', '379.2', '374.6', '14838', '69039', '0'], ['ZCN8', '383.2', '383.2', '383.0', '385.4', '381.2', '11543', '120709', '0'], ['ZCU8', '389.2', '389.2', '389.4', '391.4', '387.6', '1798', '29257', '0'], ['ZCZ8', '398.2', '398.0', '398.0', '399.6', '396.0', '6525', '79145', '0'], ['ZCH9', '408.2', '407.2', '406.0', '409.6', '406.0', '105', '2530', '0'], ['ZCK9', '412.2', '412.0', '411.0', '412.2', '411.0', '11', '623', '0'], ['ZCN9', '417.0', '416.6', '415.6', '417.0', '415.6', '14', '945', '0'], ['ZCU9', '408.4', '408.0', '407.6', '410.0', '407.6', '7', '239', '0'], ['ZCZ9', '409.4', '409.4', '408.2', '410.4', '408.2', '17', '1778', '0']]
2017-09-12 13:45 Tue // ['1360001', '229782', '0'] // ['ZCZ7', '349.2', '357.4', '357.0', '357.2', '345.4', '205962', '799012', '0'] // [['ZCU7', '336.0', '345.4', '346.0', '346.0', '336.0', '407', '803', '0'], ['ZCZ7', '349.2', '357.4', '357.0', '357.2', '345.4', '205962', '799012', '0'], ['ZCH8', '361.6', '369.6', '369.0', '369.2', '358.0', '51691', '241443', '0'], ['ZCK8', '369.6', '377.6', '377.0', '377.0', '366.0', '19454', '77129', '0'], ['ZCN8', '376.4', '384.0', '383.6', '383.6', '372.4', '18200', '124064', '0'], ['ZCU8', '382.6', '390.2', '389.0', '389.2', '379.0', '3274', '29918', '0'], ['ZCZ8', '391.4', '398.6', '397.6', '398.0', '388.0', '14797', '81412', '0'], ['ZCH9', '400.0', '408.4', '403.6', '403.6', '398.0', '32', '2616', '0'], ['ZCK9', '402.6', '413.2', '405.4', '405.4', '402.6', '13', '627', '0'], ['ZCN9', '409.0', '417.4', '415.0', '416.0', '406.6', '118', '958', '0'], ['ZCU9', '401.4', '408.6', '410.0', '410.0', '401.4', '4', '243', '0'], ['ZCZ9', '403.2', '410.0', '409.0', '410.4', '401.0', '141', '1776', '0']]
