2017-08-29 13:45 Tue // ['3418108', '2625418', '0'] // ['ZFU7', '118.257', '118.210', '118.220', '118.317', '118.217', '1159465', '942163', '0'] // [['ZFU7', '118.257', '118.210', '118.220', '118.317', '118.217', '1159465', '942163', '0'], ['ZFZ7', '118.172', '118.122', '118.130', '118.232', '118.130', '969234', '2475945', '0'], ['ZFH8', '', '118.045', '', '', '', '0', '', '']]
2017-08-30 13:45 Wed // ['3365343', '2545071', '0'] // ['ZFZ7', '118.140', '118.165', '118.177', '118.177', '118.117', '649043', '2875719', '0'] // [['ZFU7', '118.230', '118.250', '118.252', '118.260', '118.205', '608216', '489624', '0'], ['ZFZ7', '118.140', '118.165', '118.177', '118.177', '118.117', '649043', '2875719', '0'], ['ZFH8', '', '118.087', '', '', '', '0', '', '']]
2017-08-31 13:45 Thu // ['3275548', '1585686', '0'] // ['ZFZ7', '118.145', '118.137', '118.147', '118.165', '118.115', '441332', '3086553', '0'] // [['ZFU7', '118.235', '118.225', '118.235', '118.252', '118.207', '143925', '188995', '0'], ['ZFZ7', '118.145', '118.137', '118.147', '118.165', '118.115', '441332', '3086553', '0'], ['ZFH8', '', '118.060', '', '', '', '0', '', '']]
2017-09-01 13:45 Fri // ['3231092', '985634', '17000'] // ['ZFZ7', '118.117', '118.160', '118.165', '118.215', '118.095', '627806', '3084478', '17000'] // [['ZFU7', '118.210', '118.250', '118.250', '118.307', '118.185', '85768', '146614', '0'], ['ZFZ7', '118.117', '118.160', '118.165', '118.215', '118.095', '627806', '3084478', '17000'], ['ZFH8', '', '118.082', '', '', '', '0', '', '']]
2017-09-04 13:45 Mon // ['3184065', '852910', '0'] // ['ZFZ7', '118.160', '118.117', '118.167', '118.172', '118.145', '68944', '3085889', '0'] // [['ZFU7', '118.250', '118.210', '118.245', '118.262', '118.237', '8269', '98176', '0'], ['ZFZ7', '118.160', '118.117', '118.167', '118.172', '118.145', '68944', '3085889', '0'], ['ZFH8', '', '118.040', '', '', '', '0', '', ''], ['ZFM8', '', '', '', '', '', '0', '', '']]
2017-09-05 13:45 Tue // ['3183182', '852910', '0'] // ['ZFZ7', '118.255', '118.117', '118.167', '118.270', '118.135', '684935', '3085548', '0'] // [['ZFU7', '119.017', '118.210', '118.245', '119.030', '118.230', '44131', '97634', '0'], ['ZFZ7', '118.255', '118.117', '118.167', '118.270', '118.135', '684935', '3085548', '0'], ['ZFH8', '', '118.040', '', '', '', '0', '', ''], ['ZFM8', '', '', '', '', '', '0', '', '']]
2017-09-06 13:45 Wed // ['3225663', '972208', '5000'] // ['ZFZ7', '118.217', '118.262', '118.267', '118.285', '118.200', '514061', '3150958', '5000'] // [['ZFU7', '118.302', '119.025', '119.042', '119.042', '118.285', '20035', '74705', '0'], ['ZFZ7', '118.217', '118.262', '118.267', '118.285', '118.200', '514061', '3150958', '5000'], ['ZFH8', '', '118.185', '', '', '', '0', '', ''], ['ZFM8', '', '', '', '', '', '0', '', '']]
2017-09-07 13:45 Thu // ['3207862', '788730', '5000'] // ['ZFZ7', '118.267', '118.197', '118.200', '118.310', '118.200', '633577', '3145967', '5000'] // [['ZFU7', '119.030', '118.282', '118.297', '119.070', '118.297', '20918', '61895', '0'], ['ZFZ7', '118.267', '118.197', '118.200', '118.310', '118.200', '633577', '3145967', '5000'], ['ZFH8', '', '118.120', '', '', '', '0', '', ''], ['ZFM8', '', '', '', '', '', '0', '', '']]
2017-09-08 13:45 Fri // ['3176474', '827197', '6458'] // ['ZFZ7', '118.257', '118.270', '118.290', '119.015', '118.245', '496168', '3127798', '6458'] // [['ZFU7', '119.020', '119.032', '119.050', '119.087', '119.012', '9126', '48676', '0'], ['ZFZ7', '118.257', '118.270', '118.290', '119.015', '118.245', '496168', '3127798', '6458'], ['ZFH8', '', '118.192', '', '', '', '0', '', ''], ['ZFM8', '', '', '', '', '', '0', '', '']]
2017-09-11 13:45 Mon // ['3177032', '655132', '0'] // ['ZFZ7', '118.167', '118.267', '118.195', '118.240', '118.167', '396833', '3128758', '0'] // [['ZFU7', '118.262', '119.030', '118.285', '119.000', '118.262', '6078', '48274', '0'], ['ZFZ7', '118.167', '118.267', '118.195', '118.240', '118.167', '396833', '3128758', '0'], ['ZFH8', '', '118.190', '', '', '', '0', '', ''], ['ZFM8', '', '', '', '', '', '0', '', '']]
2017-09-12 13:45 Tue // ['3179381', '518021', '5000'] // ['ZFZ7', '118.095', '118.175', '118.162', '118.172', '118.090', '489337', '3134878', '5000'] // [['ZFU7', '118.195', '118.265', '118.260', '118.260', '118.192', '19823', '44503', '0'], ['ZFZ7', '118.095', '118.175', '118.162', '118.172', '118.090', '489337', '3134878', '5000'], ['ZFH8', '', '118.097', '', '', '', '0', '', ''], ['ZFM8', '', '', '', '', '', '0', '', '']]
2017-09-13 13:45 Wed // ['3146416', '694159', '0'] // ['ZFZ7', '118.085', '118.110', '118.112', '118.132', '118.070', '368656', '3104725', '0'] // [['ZFU7', '118.195', '118.210', '118.212', '118.227', '118.177', '9218', '41691', '0'], ['ZFZ7', '118.085', '118.110', '118.112', '118.132', '118.070', '368656', '3104725', '0'], ['ZFH8', '', '118.032', '', '', '', '0', '', ''], ['ZFM8', '', '', '', '', '', '0', '', '']]
2017-09-14 13:45 Thu // ['3154233', '522083', '5800'] // ['ZFZ7', '118.032', '118.067', '118.077', '118.087', '118.002', '688876', '3117460', '5800'] // [['ZFU7', '118.140', '118.170', '118.182', '118.182', '118.115', '7818', '36773', '0'], ['ZFZ7', '118.032', '118.067', '118.077', '118.087', '118.002', '688876', '3117460', '5800'], ['ZFH8', '', '117.310', '', '', '', '0', '', ''], ['ZFM8', '', '', '', '', '', '0', '', '']]
2017-09-15 13:45 Fri // ['3106658', '936260', '0'] // ['ZFZ7', '118.017', '118.042', '118.060', '118.072', '118.000', '524839', '3074948', '0'] // [['ZFU7', '118.130', '118.152', '118.162', '118.167', '118.117', '2365', '31710', '0'], ['ZFZ7', '118.017', '118.042', '118.060', '118.072', '118.000', '524839', '3074948', '0'], ['ZFH8', '', '117.285', '', '', '', '0', '', ''], ['ZFM8', '', '', '', '', '', '0', '', '']]
2017-09-19 13:45 Tue // ['3015741', '449812', '8500'] // ['ZFZ7', '117.285', '117.302', '117.300', '118.010', '117.282', '387959', '2989105', '8500'] // [['ZFU7', '118.077', '118.095', '118.110', '118.120', '118.077', '5224', '26636', '0'], ['ZFZ7', '117.285', '117.302', '117.300', '118.010', '117.282', '387959', '2989105', '8500'], ['ZFH8', '', '117.225', '', '', '', '0', '', ''], ['ZFM8', '', '0', '', '', '', '0', '', '']]
2017-09-20 13:45 Wed // ['2980492', '531910', '0'] // ['ZFZ7', '117.312', '117.287', '117.285', '118.007', '117.285', '357601', '2956487', '0'] // [['ZFU7', '118.105', '118.080', '118.092', '118.112', '118.092', '833', '24005', '0'], ['ZFZ7', '117.312', '117.287', '117.285', '118.007', '117.285', '357601', '2956487', '0'], ['ZFH8', '', '117.210', '', '', '', '0', '', ''], ['ZFM8', '', '0', '', '', '', '0', '', '']]
2017-09-21 13:45 Thu // ['2999465', '896258', '0'] // ['ZFZ7', '117.212', '117.207', '117.215', '117.245', '117.197', '595502', '2977991', '0'] // [['ZFU7', '118.032', '118.010', '118.017', '118.032', '118.015', '1289', '21474', '0'], ['ZFZ7', '117.212', '117.207', '117.215', '117.245', '117.197', '595502', '2977991', '0'], ['ZFH8', '', '117.130', '', '', '', '0', '', ''], ['ZFM8', '', '0', '', '', '', '0', '', '']]
2017-09-22 13:45 Fri // ['2979467', '768916', '0'] // ['ZFZ7', '117.225', '117.197', '117.192', '117.257', '117.192', '494623', '2959882', '0'] // [['ZFU7', '118.017', '117.317', '118.035', '118.035', '118.017', '2265', '19585', '0'], ['ZFZ7', '117.225', '117.197', '117.192', '117.257', '117.192', '494623', '2959882', '0'], ['ZFH8', '', '117.120', '', '', '', '0', '', ''], ['ZFM8', '', '0', '', '', '', '0', '', '']]
2017-09-25 13:45 Mon // ['2950341', '633855', '0'] // ['ZFZ7', '117.280', '117.222', '117.227', '117.295', '117.212', '506751', '2932380', '0'] // [['ZFU7', '118.052', '118.022', '118.057', '118.057', '118.030', '3006', '17961', '0'], ['ZFZ7', '117.280', '117.222', '117.227', '117.295', '117.212', '506751', '2932380', '0'], ['ZFH8', '', '117.145', '', '', '', '0', '', ''], ['ZFM8', '', '0', '', '', '', '0', '', '']]
2017-09-27 13:45 Wed // ['2975757', '660658', '0'] // ['ZFZ7', '117.185', '117.262', '117.250', '117.255', '117.150', '796465', '2962101', '0'] // [['ZFU7', '117.315', '118.062', '118.002', '118.010', '117.287', '2702', '13656', '0'], ['ZFZ7', '117.185', '117.262', '117.250', '117.255', '117.150', '796465', '2962101', '0'], ['ZFH8', '', '117.185', '', '', '', '0', '', ''], ['ZFM8', '', '0', '', '', '', '0', '', '']]
