ES.F,NASDAQ.F,DAX.F,FTSE.F,GOLD.S,CL.F,DOLLAR.i,EURYEN.S,EURODOLLAR.F,GER2.F,US.YC
SPX.i,NASDAQ.i,DAX.i,FTSE.i,GOLD.F,WTI.F,EURUSD.S,EURYEN.Fr,US2.F,GER5.F,JAP.YC
SPY.i,VIX.F,STOXX50.F,MIB.i,COPPER.F,BRENT.F,EURUSD.Fr,,US5.F,GER10.F,GER.YC
DJIA.i,VIX.i,STOXX50.i,CAC.i,SILVER.S,NATURALGAS.F,GBPUSD.S,USDYEN.S,US10.F,,UK.YC
DJIA.F,,STOXX600.F,,SILVER.F,,GBPUSD.Fr,USDYEN.Fr,US30.F,JAP5.Y,ITA.YC
RUSSEL.i,NIKKEI.F,STOXX600.i,HANGSENG.F,,CORN.F,AUDUSD.S,USDCHF.S,UK5.Y,JAP10.Y,FRA.YC
RUSSEL.F,NIKKEI.i,,HANGSENG.i,,SOYBEAN.F,AUDUSD.Fr,USDCHF.Fr,UK10.Y,ITA10.Y,
