"1", 3, 6, 9, 12, 24, 36, 48, 60, 72, 84, 96, 108, 120, 180, 240, 360, 600
-0.646, -0.621, -0.629, -0.578, -0.57, -0.594, -0.512, -0.377, -0.206, -0.059, 0.1, 0.318, 0.505, 0.661, 1.044, 1.373, 1.742, 1.884
