['2017-08-29 13:45 Tue', '1385.031', '1382.229', '1381.314', '1385.195', '1371.802', '1452.091', '1156.085', '249041568', '', 'RTY:IND']
['2017-08-30 13:45 Wed', '1391.232', '1383.681', '1383.211', '1391.259', '1381.203', '1452.091', '1156.085', '262666752', '', 'RTY:IND']
['2017-08-31 13:45 Thu', '1404.330', '1391.324', '1392.042', '1406.444', '1392.042', '1452.091', '1156.085', '235515040', '', 'RTY:IND']
['2017-09-01 13:45 Fri', '1411.170', '1405.277', '1405.825', '1411.243', '1405.825', '1452.091', '1156.085', '289160320', '', 'RTY:IND']
['2017-09-04 13:45 Mon', '1413.571', '1405.277', '1405.825', '1413.865', '1405.825', '1452.091', '1156.085', '224214400', '', 'RTY:IND']
['2017-09-05 13:45 Tue', '1396.032', '1413.571', '1413.304', '1414.546', '1394.507', '1452.091', '1156.085', '224214400', '', 'RTY:IND']
['2017-09-06 13:45 Wed', '1404.430', '1399.655', '1400.009', '1406.021', '1399.273', '1452.091', '1156.085', '279097440', '', 'RTY:IND']
['2017-09-07 13:45 Thu', '1397.580', '1402.196', '1402.457', '1404.307', '1393.885', '1452.091', '1156.085', '247688240', '', 'RTY:IND']
['2017-09-08 13:45 Fri', '1399.807', '1398.674', '1398.189', '1403.529', '1394.433', '1452.091', '1156.085', '266820256', '', 'RTY:IND']
