['2017-08-29 13:45 Tue', '368.42', '372.29', '371.23', '371.23', '365.99', '396.55', '327.02', '', '', 'SXXP']
['2017-08-30 13:45 Wed', '371.01', '368.42', '369.89', '371.62', '369.88', '396.55', '327.02', '', '', 'SXXP']
['2017-08-31 13:45 Thu', '373.88', '371.01', '371.73', '374.79', '371.73', '396.55', '327.02', '', '', 'SXXP']
['2017-09-01 13:45 Fri', '376.14', '373.88', '374.56', '376.85', '374.56', '396.55', '327.02', '', '', 'SXXP']
['2017-09-04 13:45 Mon', '374.18', '376.14', '375.03', '375.03', '373.74', '396.55', '327.02', '', '', 'SXXP']
['2017-09-05 13:45 Tue', '373.71', '374.18', '374.19', '375.89', '373.41', '396.55', '327.02', '', '', 'SXXP']
['2017-09-06 13:45 Wed', '373.95', '373.71', '372.96', '374.63', '371.62', '396.55', '327.02', '', '', 'SXXP']
['2017-09-07 13:45 Thu', '374.95', '373.95', '374.13', '375.91', '373.40', '396.55', '327.02', '', '', 'SXXP']
['2017-09-08 13:45 Fri', '375.51', '374.95', '374.33', '375.64', '373.42', '396.55', '327.02', '', '', 'SXXP']
['2017-09-11 13:45 Mon', '379.43', '375.51', '376.39', '379.43', '376.39', '396.55', '327.02', '', '', 'SXXP']
['2017-09-12 13:45 Tue', '381.42', '379.43', '379.80', '381.98', '379.80', '396.55', '327.02', '', '', 'SXXP']
['2017-09-13 13:45 Wed', '381.34', '381.42', '381.00', '382.16', '379.93', '396.55', '327.02', '', '', 'SXXP']
['2017-09-14 13:45 Thu', '381.79', '381.34', '381.24', '382.20', '380.56', '396.55', '327.02', '', '', 'SXXP']
['2017-09-15 13:45 Fri', '380.71', '381.79', '381.98', '381.98', '380.02', '396.55', '327.02', '', '', 'SXXP']
['2017-09-19 13:45 Tue', '382.12', '381.95', '381.26', '382.16', '380.97', '396.55', '327.02', '', '', 'SXXP']
['2017-09-20 13:45 Wed', '381.98', '382.12', '381.74', '382.58', '381.30', '396.55', '327.02', '', '', 'SXXP']
['2017-09-21 13:45 Thu', '382.88', '381.98', '382.62', '383.59', '382.23', '396.55', '327.02', '', '', 'SXXP']
['2017-09-22 13:45 Fri', '383.22', '382.88', '382.26', '383.68', '382.07', '396.55', '327.02', '', '', 'SXXP']
['2017-09-25 13:45 Mon', '383.90', '383.22', '383.64', '384.53', '383.44', '396.55', '327.02', '', '', 'SXXP']
['2017-09-27 13:45 Wed', '385.62', '384.03', '384.13', '386.31', '384.13', '396.55', '327.02', '', '', 'SXXP']
['2017-09-28 13:45 Thu', '386.36', '385.62', '385.66', '386.36', '384.96', '396.55', '327.02', '', '', 'SXXP']
['2017-09-29 13:45 Fri', '388.16', '386.36', '386.25', '388.16', '385.92', '396.55', '327.02', '', '', 'SXXP']
['2017-10-02 13:45 Mon', '390.13', '388.16', '388.43', '390.13', '388.43', '396.55', '327.02', '', '', 'SXXP']
['2017-10-03 13:45 Tue', '390.72', '390.13', '390.32', '390.72', '389.86', '396.55', '327.02', '', '', 'SXXP']
['2017-10-04 13:45 Wed', '390.40', '390.72', '390.95', '391.09', '389.30', '396.55', '327.02', '', '', 'SXXP']
['2017-10-05 13:45 Thu', '391.03', '390.40', '389.83', '391.03', '389.27', '396.55', '327.02', '', '', 'SXXP']
['2017-10-06 13:45 Fri', '389.47', '391.03', '390.76', '390.97', '388.87', '396.55', '327.02', '', '', 'SXXP']
