['2017-08-29 13:45 Tue', '1.000', '1.053', '1.017', '1.024', '0.987', '1.536', '0.564', '0', '', 'GUKG10:IND']
['2017-08-30 13:45 Wed', '1.030', '1.000', '1.018', '1.045', '1.012', '1.536', '0.606', '0', '', 'GUKG10:IND']
['2017-08-31 13:45 Thu', '1.034', '1.030', '1.038', '1.049', '1.024', '1.536', '0.606', '0', '', 'GUKG10:IND']
['2017-09-01 13:45 Fri', '1.057', '1.034', '1.036', '1.076', '1.022', '1.536', '0.637', '0', '', 'GUKG10:IND']
['2017-09-04 13:45 Mon', '1.057', '1.057', '1.051', '1.061', '1.039', '1.536', '0.637', '0', '', 'GUKG10:IND']
['2017-09-05 13:45 Tue', '1.026', '1.057', '1.062', '1.076', '1.013', '1.536', '0.637', '0', '', 'GUKG10:IND']
['2017-09-06 13:45 Wed', '1.005', '1.026', '1.000', '1.026', '0.995', '1.536', '0.637', '0', '', 'GUKG10:IND']
['2017-09-07 13:45 Thu', '0.972', '1.005', '1.023', '1.041', '0.959', '1.536', '0.637', '0', '', 'GUKG10:IND']
['2017-09-08 13:45 Fri', '0.990', '0.972', '0.955', '1.006', '0.951', '1.536', '0.641', '0', '', 'GUKG10:IND']
['2017-09-11 13:45 Mon', '1.045', '0.990', '1.012', '1.046', '1.010', '1.536', '0.641', '0', '', 'GUKG10:IND']
['2017-09-12 13:45 Tue', '1.135', '1.045', '1.058', '1.147', '1.054', '1.536', '0.641', '0', '', 'GUKG10:IND']
['2017-09-13 13:45 Wed', '1.145', '1.135', '1.142', '1.153', '1.111', '1.536', '0.641', '0', '', 'GUKG10:IND']
['2017-09-14 13:45 Thu', '1.230', '1.145', '1.154', '1.233', '1.108', '1.536', '0.641', '0', '', 'GUKG10:IND']
['2017-09-15 13:45 Fri', '1.309', '1.230', '1.241', '1.341', '1.229', '1.536', '0.641', '0', '', 'GUKG10:IND']
['2017-09-19 13:45 Tue', '1.329', '1.302', '1.300', '1.334', '1.281', '1.536', '0.641', '0', '', 'GUKG10:IND']
['2017-09-20 13:45 Wed', '1.342', '1.329', '1.335', '1.354', '1.311', '1.536', '0.641', '0', '', 'GUKG10:IND']
['2017-09-21 13:45 Thu', '1.367', '1.342', '1.387', '1.392', '1.362', '1.536', '0.641', '0', '', 'GUKG10:IND']
['2017-09-22 13:45 Fri', '1.355', '1.367', '1.366', '1.379', '1.337', '1.536', '0.641', '0', '', 'GUKG10:IND']
['2017-09-25 13:45 Mon', '1.334', '1.355', '1.361', '1.374', '1.329', '1.536', '0.641', '0', '', 'GUKG10:IND']
['2017-09-27 13:45 Wed', '1.383', '1.330', '1.351', '1.402', '1.349', '1.536', '0.641', '0', '', 'GUKG10:IND']
['2017-09-28 13:45 Thu', '1.375', '1.383', '1.423', '1.428', '1.375', '1.536', '0.661', '0', '', 'GUKG10:IND']
['2017-09-29 13:45 Fri', '1.365', '1.375', '1.373', '1.384', '1.342', '1.536', '0.670', '0', '', 'GUKG10:IND']
