('2017-08-29 13:45 Tue', [1, 3, 6, 12, 24, 36, 48, 60, 72, 84, 96, 108, 120, 180, 240, 300, 360, 480, 600], [0.183, 0.185, 0.193, 0.157, 0.163, 0.193, 0.244, 0.421, 0.572, 0.653, 0.764, 0.901, 0.996, 1.378, 1.643, 1.668, 1.658, 1.553, 1.51])
('2017-08-30 13:45 Wed', [1, 3, 6, 12, 24, 36, 48, 60, 72, 84, 96, 108, 120, 180, 240, 300, 360, 480, 600], [0.183, 0.209, 0.209, 0.166, 0.185, 0.214, 0.265, 0.442, 0.594, 0.684, 0.801, 0.94, 1.039, 1.421, 1.688, 1.712, 1.703, 1.588, 1.544])
('2017-08-31 13:45 Thu', [1, 3, 6, 12, 24, 36, 48, 60, 72, 84, 96, 108, 120, 180, 240, 300, 360, 480, 600], [0.19, 0.207, 0.206, 0.153, 0.176, 0.204, 0.259, 0.443, 0.595, 0.682, 0.797, 0.937, 1.035, 1.412, 1.678, 1.705, 1.697, 1.58, 1.533])
('2017-09-01 13:45 Fri', [1, 3, 6, 12, 24, 36, 48, 60, 72, 84, 96, 108, 120, 180, 240, 300, 360, 480, 600], [0.183, 0.206, 0.205, 0.146, 0.19, 0.223, 0.272, 0.459, 0.616, 0.705, 0.823, 0.96, 1.064, 1.438, 1.707, 1.73, 1.723, 1.602, 1.56])
('2017-09-04 13:45 Mon', [1, 3, 6, 12, 24, 36, 48, 60, 72, 84, 96, 108, 120, 180, 240, 300, 360, 480, 600], [0.191, 0.204, 0.2, 0.154, 0.187, 0.215, 0.26, 0.453, 0.608, 0.698, 0.818, 0.952, 1.058, 1.439, 1.711, 1.734, 1.73, 1.614, 1.567])
('2017-09-05 13:45 Tue', [1, 3, 6, 12, 24, 36, 48, 60, 72, 84, 96, 108, 120, 180, 240, 300, 360, 480, 600], [0.176, 0.215, 0.21, 0.17, 0.176, 0.195, 0.246, 0.427, 0.576, 0.667, 0.785, 0.948, 1.02, 1.393, 1.663, 1.684, 1.681, 1.566, 1.512])
('2017-09-06 13:45 Wed', [1, 3, 6, 12, 24, 36, 48, 60, 72, 84, 96, 108, 120, 180, 240, 300, 360, 480, 600], [0.183, 0.218, 0.205, 0.163, 0.18, 0.197, 0.24, 0.421, 0.57, 0.66, 0.78, 0.917, 1.012, 1.383, 1.656, 1.674, 1.673, 1.557, 1.504])
('2017-09-07 13:45 Thu', [1, 3, 6, 12, 24, 36, 48, 60, 72, 84, 96, 108, 120, 180, 240, 300, 360, 480, 600], [0.175, 0.22, 0.204, 0.121, 0.143, 0.177, 0.217, 0.384, 0.525, 0.618, 0.734, 0.877, 0.962, 1.333, 1.601, 1.627, 1.624, 1.51, 1.457])
('2017-09-08 13:45 Fri', [1, 3, 6, 12, 24, 36, 48, 60, 72, 84, 96, 108, 120, 180, 240, 300, 360, 480, 600], [0.183, 0.222, 0.201, 0.155, 0.175, 0.212, 0.256, 0.423, 0.568, 0.656, 0.77, 0.905, 0.997, 1.361, 1.63, 1.653, 1.651, 1.533, 1.482])
('2017-09-11 13:45 Mon', [1, 3, 6, 12, 24, 36, 48, 60, 72, 84, 96, 108, 120, 180, 240, 300, 360, 480, 600], [0.174, 0.222, 0.198, 0.186, 0.214, 0.262, 0.303, 0.472, 0.614, 0.702, 0.815, 0.95, 1.042, 1.403, 1.674, 1.695, 1.696, 1.575, 1.518])
('2017-09-12 13:45 Tue', [1, 3, 6, 12, 24, 36, 48, 60, 72, 84, 96, 108, 120, 180, 240, 300, 360, 480, 600], [0.176, 0.215, 0.216, 0.231, 0.289, 0.334, 0.391, 0.566, 0.709, 0.806, 0.92, 1.049, 1.143, 1.509, 1.778, 1.797, 1.799, 1.68, 1.618])
('2017-09-13 13:45 Wed', [1, 3, 6, 12, 24, 36, 48, 60, 72, 84, 96, 108, 120, 180, 240, 300, 360, 480, 600], [0.183, 0.222, 0.225, 0.244, 0.287, 0.333, 0.384, 0.558, 0.706, 0.802, 0.922, 1.058, 1.147, 1.507, 1.778, 1.799, 1.799, 1.68, 1.621])
('2017-09-14 13:45 Thu', [1, 3, 6, 12, 24, 36, 48, 60, 72, 84, 96, 108, 120, 180, 240, 300, 360, 480, 600], [0.175, 0.228, 0.233, 0.301, 0.367, 0.44, 0.481, 0.651, 0.806, 0.884, 1.005, 1.134, 1.222, 1.565, 1.832, 1.854, 1.859, 1.737, 1.681])
('2017-09-15 13:45 Fri', [1, 3, 6, 12, 24, 36, 48, 60, 72, 84, 96, 108, 120, 180, 240, 300, 360, 480, 600], [0.183, 0.252, 0.273, 0.386, 0.449, 0.521, 0.568, 0.751, 0.902, 0.992, 1.105, 1.232, 1.325, 1.643, 1.902, 1.917, 1.92, 1.802, 1.742])
('2017-09-19 13:45 Tue', [1, 3, 6, 12, 24, 36, 48, 60, 72, 84, 96, 108, 120, 180, 240, 300, 360, 480, 600], [0.176, 0.231, 0.236, 0.353, 0.408, 0.492, 0.554, 0.741, 0.893, 0.991, 1.107, 1.234, 1.328, 1.657, 1.915, 1.93, 1.928, 1.813, 1.755])
('2017-09-20 13:45 Wed', [1, 3, 6, 12, 24, 36, 48, 60, 72, 84, 96, 108, 120, 180, 240, 300, 360, 480, 600], [0.169, 0.23, 0.231, 0.386, 0.437, 0.505, 0.563, 0.743, 0.894, 0.989, 1.109, 1.238, 1.332, 1.654, 1.911, 1.921, 1.919, 1.801, 1.744])
('2017-09-21 13:45 Thu', [1, 3, 6, 12, 24, 36, 48, 60, 72, 84, 96, 108, 120, 180, 240, 300, 360, 480, 600], [0.161, 0.224, 0.233, 0.388, 0.455, 0.529, 0.591, 0.778, 0.926, 1.019, 1.138, 1.269, 1.372, 1.684, 1.935, 1.943, 1.938, 1.811, 1.758])
('2017-09-22 13:45 Fri', [1, 3, 6, 12, 24, 36, 48, 60, 72, 84, 96, 108, 120, 180, 240, 300, 360, 480, 600], [0.167, 0.231, 0.298, 0.395, 0.449, 0.525, 0.588, 0.773, 0.921, 1.016, 1.131, 1.261, 1.365, 1.682, 1.935, 1.939, 1.933, 1.814, 1.754])
('2017-09-25 13:45 Mon', [1, 3, 6, 12, 24, 36, 48, 60, 72, 84, 96, 108, 120, 180, 240, 300, 360, 480, 600], [0.174, 0.226, 0.292, 0.378, 0.438, 0.507, 0.57, 0.753, 0.901, 0.992, 1.105, 1.233, 1.337, 1.654, 1.905, 1.912, 1.905, 1.784, 1.727])
('2017-09-27 13:45 Wed', [1, 3, 6, 12, 24, 36, 48, 60, 72, 84, 96, 108, 120, 180, 240, 300, 360, 480, 600], [0.154, 0.237, 0.307, 0.422, 0.461, 0.546, 0.61, 0.801, 0.952, 1.042, 1.16, 1.277, 1.379, 1.694, 1.943, 1.949, 1.94, 1.817, 1.764])
('2017-09-28 13:45 Thu', [1, 3, 6, 12, 24, 36, 48, 60, 72, 84, 96, 108, 120, 180, 240, 300, 360, 480, 600], [0.161, 0.239, 0.308, 0.413, 0.46, 0.546, 0.609, 0.804, 0.951, 1.042, 1.159, 1.277, 1.383, 1.692, 1.936, 1.944, 1.935, 1.814, 1.759])
('2017-09-29 13:45 Fri', [1, 3, 6, 12, 24, 36, 48, 60, 72, 84, 96, 108, 120, 180, 240, 300, 360, 480, 600], [0.152, 0.242, 0.314, 0.406, 0.449, 0.538, 0.593, 0.783, 0.927, 1.021, 1.139, 1.256, 1.363, 1.667, 1.912, 1.922, 1.918, 1.791, 1.732])
