['2017-08-29 13:45 Tue', '2.976', '2.961', '2.959', '2.990', '2.934', '3.619', '2.799', '67000', '320159', 'NGV17']
['2017-08-30 13:45 Wed', '2.942', '2.983', '2.973', '2.980', '2.928', '3.619', '2.799', '69500', '323887', 'NGV17']
['2017-08-31 13:45 Thu', '3.035', '2.939', '2.945', '3.038', '2.908', '3.619', '2.799', '167200', '323463', 'NGV17']
['2017-09-01 13:45 Fri', '3.077', '3.040', '3.027', '3.088', '2.998', '3.619', '2.799', '128199', '326873', 'NGV17']
['2017-09-04 13:45 Mon', '3.019', '3.070', '3.013', '3.059', '3.013', '3.619', '2.799', '21700', '299989', 'NGV17']
['2017-09-05 13:45 Tue', '2.974', '3.070', '3.013', '3.059', '2.965', '3.619', '2.799', '132100', '311484', 'NGV17']
['2017-09-06 13:45 Wed', '3.005', '2.972', '2.97', '3.019', '2.960', '3.619', '2.799', '99000', '298804', 'NGV17']
['2017-09-07 13:45 Thu', '2.984', '3.000', '3.008', '3.030', '2.968', '3.619', '2.799', '108200', '272735', 'NGV17']
['2017-09-08 13:45 Fri', '2.898', '2.981', '2.972', '2.975', '2.888', '3.619', '2.799', '137100', '263510', 'NGV17']
