['2017-08-29 09:20 Tue', '244.57', '244.56', '245.17', '245.20', '244.09', '248.91', '208.38', '40565606', '', 'SPY:US']
['2017-08-30 09:20 Wed', '244.85', '244.57', '243.06', '245.15', '242.93', '248.91', '208.38', '51135715', '', 'SPY:US']
['2017-08-31 09:20 Thu', '246.01', '244.85', '244.83', '246.32', '244.62', '248.91', '208.38', '62030805', '', 'SPY:US']
['2017-09-01 09:20 Fri', '247.49', '246.01', '246.72', '247.77', '246.05', '248.91', '208.38', '103803880', '', 'SPY:US']
['2017-09-04 09:20 Mon', '247.84', '247.49', '247.92', '248.33', '247.67', '248.91', '208.38', '62006989', '', 'SPY:US']
['2017-09-05 09:20 Tue', '247.84', '247.49', '247.92', '248.33', '247.67', '248.91', '208.38', '62006989', '', 'SPY:US']
['2017-09-06 09:20 Wed', '246.06', '247.84', '247.26', '247.52', '244.95', '248.91', '208.38', '91398777', '', 'SPY:US']
['2017-09-07 09:20 Thu', '246.90', '246.06', '246.84', '247.28', '246.23', '248.91', '208.38', '57916867', '', 'SPY:US']
['2017-09-08 09:20 Fri', '246.87', '246.90', '247.25', '247.27', '246.40', '248.91', '208.38', '58034730', '', 'SPY:US']
