['2017-08-29 09:20 Tue', '1.2952', '1.2933', '1.2933', '1.2979', '1.2922', '1.3445', '1.1841', '', '', 'GBPUSD:CUR']
['2017-08-30 09:20 Wed', '1.2922', '1.2918', '1.2918', '1.2938', '1.2879', '1.3445', '1.1841', '', '', 'GBPUSD:CUR']
['2017-08-31 09:20 Thu', '1.2877', '1.2925', '1.2925', '1.2930', '1.2853', '1.3445', '1.1841', '', '', 'GBPUSD:CUR']
['2017-09-01 09:20 Fri', '1.2984', '1.2930', '1.2930', '1.2995', '1.2906', '1.3445', '1.1841', '', '', 'GBPUSD:CUR']
['2017-09-04 09:20 Mon', '1.2956', '1.2951', '1.2951', '1.2966', '1.2930', '1.3445', '1.1841', '', '', 'GBPUSD:CUR']
['2017-09-05 09:20 Tue', '1.2983', '1.2931', '1.2931', '1.2988', '1.2909', '1.3445', '1.1841', '', '', 'GBPUSD:CUR']
['2017-09-06 09:20 Wed', '1.3049', '1.3033', '1.3033', '1.3056', '1.3019', '1.3441', '1.1841', '', '', 'GBPUSD:CUR']
['2017-09-07 09:20 Thu', '1.3099', '1.3043', '1.3043', '1.3108', '1.3033', '1.3376', '1.1841', '', '', 'GBPUSD:CUR']
['2017-09-08 09:20 Fri', '1.3202', '1.3101', '1.3102', '1.3224', '1.3094', '1.3347', '1.1841', '', '', 'GBPUSD:CUR']
['2017-09-11 09:20 Mon', '1.3190', '1.3200', '1.3197', '1.3222', '1.3168', '1.3347', '1.1841', '', '', 'GBPUSD:CUR']
['2017-09-12 09:20 Tue', '1.3251', '1.3163', '1.3163', '1.3288', '1.3161', '1.3341', '1.1841', '', '', 'GBPUSD:CUR']
['2017-09-13 09:20 Wed', '1.3263', '1.3283', '1.3283', '1.3329', '1.3253', '1.3329', '1.1841', '', '', 'GBPUSD:CUR']
['2017-09-14 09:20 Thu', '1.3351', '1.3211', '1.3211', '1.3372', '1.3155', '1.3372', '1.1841', '', '', 'GBPUSD:CUR']
['2017-09-15 09:20 Fri', '1.3577', '1.3399', '1.3399', '1.3616', '1.3382', '1.3616', '1.1841', '', '', 'GBPUSD:CUR']
['2017-09-19 09:20 Tue', '1.3506', '1.3495', '1.3495', '1.3552', '1.3469', '1.3619', '1.1841', '', '', 'GBPUSD:CUR']
['2017-09-20 09:20 Wed', '1.3538', '1.3503', '1.3503', '1.3607', '1.3496', '1.3619', '1.1841', '', '', 'GBPUSD:CUR']
['2017-09-21 09:20 Thu', '1.3502', '1.3495', '1.3494', '1.3514', '1.3471', '1.3657', '1.1841', '', '', 'GBPUSD:CUR']
['2017-09-22 09:20 Fri', '1.3581', '1.3580', '1.3580', '1.3596', '1.3537', '1.3657', '1.1841', '', '', 'GBPUSD:CUR']
['2017-09-25 09:27 Mon', '1.3513', '1.3504', '1.3474', '1.3571', '1.3472', '1.3657', '1.1841', '', '', 'GBPUSD:CUR']
['2017-09-27 09:27 Wed', '1.3390', '1.3458', '1.3458', '1.3461', '1.3364', '1.3657', '1.1841', '', '', 'GBPUSD:CUR']
['2017-09-28 09:27 Thu', '1.3426', '1.3387', '1.3387', '1.3442', '1.3343', '1.3657', '1.1841', '', '', 'GBPUSD:CUR']
['2017-09-29 09:27 Fri', '1.3382', '1.3442', '1.3442', '1.3444', '1.3353', '1.3657', '1.1841', '', '', 'GBPUSD:CUR']
