['2017-08-29 09:20 Tue', '348.50', '351.00', '350.75', '351.00', '348.00', '417.25', '348.00', '36500', '790916', 'CZ7']
['2017-08-30 09:20 Wed', '348.50', '348.75', '348.25', '349.25', '348.00', '417.25', '347.00', '16100', '782166', 'CZ7']
['2017-08-31 09:20 Thu', '344.50', '345.50', '345.00', '345.75', '344.25', '417.25', '344.25', '18600', '783154', 'CZ7']
['2017-09-01 09:20 Fri', '360.25', '357.75', '357.00', '360.75', '356.00', '417.25', '344.25', '34000', '782824', 'CZ7']
['2017-09-04 09:20 Mon', '354.75', '355.25', '357.00', '360.75', '353.25', '417.25', '344.25', '174400', '795599', 'CZ7']
['2017-09-05 09:20 Tue', '358.50', '355.25', '354.75', '359.00', '354.75', '417.25', '344.25', '16300', '795655', 'CZ7']
['2017-09-06 09:20 Wed', '357.25', '358.50', '357.50', '358.50', '356.00', '417.25', '344.25', '11000', '800531', 'CZ7']
['2017-09-07 09:20 Thu', '360.00', '361.00', '360.00', '360.25', '358.50', '417.25', '344.25', '11600', '806491', 'CZ7']
['2017-09-08 09:20 Fri', '355.75', '355.25', '355.25', '357.25', '355.00', '417.25', '344.25', '10800', '808555', 'CZ7']
