['2017-08-29 09:20 Tue', '3.1045', '3.0860', '3.0925', '3.1145', '3.0765', '3.1145', '2.1060', '40100', '212556', 'HGZ7']
['2017-08-30 09:20 Wed', '3.092', '3.1045', '3.105', '3.1175', '3.0840', '3.1215', '2.1110', '46400', '220489', 'HGZ7']
['2017-08-31 09:20 Thu', '3.096', '3.0870', '3.088', '3.1355', '3.0870', '3.1355', '2.1110', '47600', '223683', 'HGZ7']
['2017-09-01 09:20 Fri', '3.1095', '3.0985', '3.102', '3.1155', '3.0910', '3.1355', '2.1110', '37400', '225538', 'HGZ7']
['2017-09-04 09:20 Mon', '3.1515', '3.1180', '3.1225', '3.1765', '3.1130', '3.1765', '2.1110', '44800', '225022', 'HGZ7']
['2017-09-05 09:20 Tue', '3.155', '3.1180', '3.1225', '3.1785', '3.1130', '3.1785', '2.1110', '105400', '225022', 'HGZ7']
['2017-09-06 09:20 Wed', '3.139', '3.1280', '3.13', '3.1560', '3.1250', '3.1785', '2.1270', '44500', '226533', 'HGZ7']
['2017-09-07 09:20 Thu', '3.1355', '3.1515', '3.1585', '3.1600', '3.1115', '3.1785', '2.1270', '56400', '224105', 'HGZ7']
['2017-09-08 09:20 Fri', '3.0815', '3.1435', '3.148', '3.1635', '3.0760', '3.1785', '2.1275', '89000', '220792', 'HGZ7']
