('2017-08-29 09:20 Tue', [1, 3, 6, 12, 24, 36, 60, 84, 120, 360], [1.002, 1.037, 1.132, 1.246, 1.314, 1.422, 1.694, 1.931, 2.114, 2.715])
('2017-08-30 09:20 Wed', [1, 3, 6, 12, 24, 36, 60, 84, 120, 360], [0.984, 1.037, 1.132, 1.233, 1.329, 1.435, 1.713, 1.959, 2.134, 2.738])
('2017-08-31 09:20 Thu', [1, 3, 6, 12, 24, 36, 60, 84, 120, 360], [1.06, 1.129, 1.122, 1.235, 1.334, 1.443, 1.733, 1.978, 2.15, 2.754])
('2017-09-01 09:20 Fri', [1, 3, 6, 12, 24, 36, 60, 84, 120, 360], [0.954, 1.019, 1.091, 1.243, 1.33, 1.437, 1.712, 1.957, 2.129, 2.738])
('2017-09-04 09:20 Mon', [1, 3, 6, 12, 24, 36, 60, 84, 120, 360], [0.951, 1.019, 1.093, 1.232, 1.346, 1.462, 1.74, 1.993, 2.166, 2.775])
('2017-09-05 09:20 Tue', [1, 3, 6, 12, 24, 36, 60, 84, 120, 360], [1.055, 1.118, 1.101, 1.235, 1.326, 1.437, 1.712, 1.966, 2.141, 2.762])
('2017-09-06 09:20 Wed', [1, 3, 6, 12, 24, 36, 60, 84, 120, 360], [1.269, 1.037, 1.132, 1.222, 1.298, 1.396, 1.653, 1.901, 2.075, 2.693])
('2017-09-07 09:20 Thu', [1, 3, 6, 12, 24, 36, 60, 84, 120, 360], [1.065, 1.106, 1.152, 1.243, 1.294, 1.396, 1.666, 1.912, 2.086, 2.704])
('2017-09-08 09:20 Fri', [1, 3, 6, 12, 24, 36, 60, 84, 120, 360], [0.964, 1.037, 1.137, 1.207, 1.262, 1.363, 1.614, 1.861, 2.033, 2.653])
('2017-09-11 09:20 Mon', [1, 3, 6, 12, 24, 36, 60, 84, 120, 360], [0.964, 1.042, 1.132, 1.212, 1.282, 1.393, 1.664, 1.916, 2.087, 2.701])
('2017-09-12 09:20 Tue', [1, 3, 6, 12, 24, 36, 60, 84, 120, 360], [0.969, 1.047, 1.157, 1.227, 1.327, 1.458, 1.729, 1.979, 2.153, 2.759])
('2017-09-13 09:20 Wed', [1, 3, 6, 12, 24, 36, 60, 84, 120, 360], [0.984, 1.037, 1.16, 1.267, 1.331, 1.461, 1.739, 1.981, 2.159, 2.765])
('2017-09-14 09:20 Thu', [1, 3, 6, 12, 24, 36, 60, 84, 120, 360], [0.974, 1.037, 1.157, 1.259, 1.351, 1.482, 1.769, 2.004, 2.19, 2.793])
('2017-09-15 09:20 Fri', [1, 3, 6, 12, 24, 36, 60, 84, 120, 360], [0.999, 1.067, 1.157, 1.279, 1.38, 1.52, 1.801, 2.03, 2.204, 2.775])
('2017-09-19 09:20 Tue', [1, 3, 6, 12, 24, 36, 60, 84, 120, 360], [0.971, 1.067, 1.196, 1.305, 1.389, 1.531, 1.816, 2.052, 2.223, 2.796])
('2017-09-20 09:20 Wed', [1, 3, 6, 12, 24, 36, 60, 84, 120, 360], [0.979, 1.042, 1.193, 1.305, 1.389, 1.526, 1.814, 2.05, 2.225, 2.8])
('2017-09-21 09:20 Thu', [1, 3, 6, 12, 24, 36, 60, 84, 120, 360], [0.974, 1.111, 1.211, 1.321, 1.439, 1.588, 1.878, 2.11, 2.277, 2.815])
('2017-09-22 09:20 Fri', [1, 3, 6, 12, 24, 36, 60, 84, 120, 360], [0.974, 1.108, 1.193, 1.313, 1.431, 1.578, 1.863, 2.089, 2.252, 2.783])
('2017-09-25 09:27 Mon', [1, 3, 6, 12, 24, 36, 60, 84, 120, 360], [0.974, 1.103, 1.201, 1.313, 1.431, 1.567, 1.847, 2.074, 2.236, 2.767])
('2017-09-27 09:27 Wed', [1, 3, 6, 12, 24, 36, 60, 84, 120, 360], [0.984, 1.062, 1.193, 1.31, 1.467, 1.597, 1.899, 2.129, 2.287, 2.825])
('2017-09-28 09:27 Thu', [1, 3, 6, 12, 24, 36, 60, 84, 120, 360], [0.984, 1.129, 1.214, 1.315, 1.487, 1.616, 1.939, 2.173, 2.348, 2.898])
('2017-09-29 09:27 Fri', [1, 3, 6, 12, 24, 36, 60, 84, 120, 360], [0.964, 1.057, 1.183, 1.31, 1.459, 1.584, 1.898, 2.136, 2.31, 2.872])
