2017-09-13 16:30 Wed // ['23569', '8298', '0'] // ['RYU7', '131.42', '131.80', '131.83', '132.00', '131.27', '13948', '13499', '0'] // [['RYU7', '131.42', '131.80', '131.83', '132.00', '131.27', '13948', '13499', '0'], ['RYZ7', '131.54', '131.88', '131.97', '132.01', '131.43', '12606', '10070', '0'], ['RYH8', '', '131.93', '', '', '', '0', '', ''], ['RYM8', '', '131.97', '', '', '', '0', '', ''], ['RYU8', '', '131.98', '', '', '', '0', '', ''], ['RYZ8', '', '131.98', '', '', '', '0', '', ''], ['RYH9', '', '131.96', '', '', '', '0', '', '']]
2017-09-14 16:30 Thu // ['25662', '26562', '0'] // ['RYU7', '131.49', '131.41', '131.39', '131.75', '131.11', '4533', '7827', '0'] // [['RYU7', '131.49', '131.41', '131.39', '131.75', '131.11', '4533', '7827', '0'], ['RYZ7', '131.69', '131.51', '131.52', '131.82', '131.22', '3850', '17835', '0'], ['RYH8', '', '131.54', '', '', '', '0', '', ''], ['RYM8', '', '131.58', '', '', '', '0', '', ''], ['RYU8', '', '131.61', '', '', '', '0', '', ''], ['RYZ8', '', '131.61', '', '', '', '0', '', ''], ['RYH9', '', '131.60', '', '', '', '0', '', '']]
2017-09-15 16:30 Fri // ['26289', '9341', '644'] // ['RYZ7', '132.66', '131.80', '131.43', '133.16', '130.72', '6122', '19657', '644'] // [['RYU7', '132.28', '131.71', '130.83', '133.05', '130.65', '2241', '6632', '0'], ['RYZ7', '132.66', '131.80', '131.43', '133.16', '130.72', '6122', '19657', '644'], ['RYH8', '', '131.84', '', '', '', '0', '', ''], ['RYM8', '', '131.89', '', '', '', '0', '', ''], ['RYU8', '', '131.90', '', '', '', '0', '', ''], ['RYZ8', '', '131.89', '', '', '', '0', '', ''], ['RYH9', '', '131.88', '', '', '', '0', '', '']]
2017-09-18 16:40 Mon // ['28709', '8956', '419'] // ['RYZ7', '133.46', '132.47', '132.75', '133.52', '132.65', '2055', '22235', '419'] // [['RYU7', '133.08', '132.38', '132.88', '133.08', '132.84', '223', '6474', '0'], ['RYZ7', '133.46', '132.47', '132.75', '133.52', '132.65', '2055', '22235', '419'], ['RYH8', '', '132.52', '', '', '', '0', '', ''], ['RYM8', '', '132.56', '', '', '', '0', '', ''], ['RYU8', '', '132.58', '', '', '', '0', '', ''], ['RYZ8', '', '132.56', '', '', '', '0', '', ''], ['RYH9', '', '132.53', '', '', '', '0', '', '']]
2017-09-19 16:30 Tue // ['29097', '2366', '83'] // ['RYZ7', '133.84', '133.31', '133.45', '134.25', '133.34', '3828', '22886', '83'] // [['RYZ7', '133.84', '133.31', '133.45', '134.25', '133.34', '3828', '22886', '83'], ['RYH8', '', '133.34', '', '', '', '0', '', ''], ['RYM8', '', '133.40', '', '', '', '0', '', ''], ['RYU8', '', '133.42', '', '', '', '0', '', ''], ['RYZ8', '', '133.41', '', '', '', '0', '', ''], ['RYH9', '', '133.39', '', '', '', '0', '', '']]
2017-09-20 16:30 Wed // ['29681', '4078', '200'] // ['RYZ7', '133.52', '133.85', '133.92', '134.17', '133.37', '1992', '23470', '200'] // [['RYZ7', '133.52', '133.85', '133.92', '134.17', '133.37', '1992', '23470', '200'], ['RYH8', '', '133.89', '', '', '', '0', '', ''], ['RYM8', '', '133.93', '', '', '', '0', '', ''], ['RYU8', '', '133.96', '', '', '', '0', '', ''], ['RYZ8', '', '133.93', '', '', '', '0', '', ''], ['RYH9', '', '133.91', '', '', '', '0', '', '']]
2017-09-21 16:30 Thu // ['23823', '2086', '80'] // ['RYZ7', '134.45', '133.67', '133.65', '134.45', '133.61', '3012', '23823', '80'] // [['RYZ7', '134.45', '133.67', '133.65', '134.45', '133.61', '3012', '23823', '80'], ['RYH8', '', '133.72', '', '', '', '0', '', ''], ['RYM8', '', '133.76', '', '', '', '0', '', ''], ['RYU8', '', '133.79', '', '', '', '0', '', ''], ['RYZ8', '', '133.77', '', '', '', '0', '', ''], ['RYH9', '', '133.75', '', '', '', '0', '', '']]
2017-09-22 16:54 Fri // ['23891', '3030', '0'] // ['RYZ7', '133.98', '134.42', '134.33', '134.50', '133.67', '3185', '23891', '0'] // [['RYZ7', '133.98', '134.42', '134.33', '134.50', '133.67', '3185', '23891', '0'], ['RYH8', '', '134.47', '', '', '', '0', '', ''], ['RYM8', '', '134.52', '', '', '', '0', '', ''], ['RYU8', '', '134.54', '', '', '', '0', '', ''], ['RYZ8', '', '134.52', '', '', '', '0', '', ''], ['RYH9', '', '134.52', '', '', '', '0', '', '']]
2017-09-25 16:13 Mon // ['23643', '3218', '0'] // ['RYZ7', '132.36', '133.92', '133.73', '134.34', '132.00', '3134', '23643', '0'] // [['RYZ7', '132.36', '133.92', '133.73', '134.34', '132.00', '3134', '23643', '0'], ['RYH8', '', '133.98', '', '', '', '0', '', ''], ['RYM8', '', '134.01', '', '', '', '0', '', ''], ['RYU8', '', '134.04', '', '', '', '0', '', ''], ['RYZ8', '', '134.03', '', '', '', '0', '', ''], ['RYH9', '', '134.02', '', '', '', '0', '', '']]
2017-09-26 16:15 Tue2017-09-27 16:15 Wed // ['23181', '2782', '0'] // ['RYZ7', '132.55', '132.43', '132.42', '132.84', '132.17', '2222', '23181', '0'] // [['RYZ7', '132.55', '132.43', '132.42', '132.84', '132.17', '2222', '23181', '0'], ['RYH8', '', '132.47', '', '', '', '0', '', ''], ['RYM8', '', '132.52', '', '', '', '0', '', ''], ['RYU8', '', '132.56', '', '', '', '0', '', ''], ['RYZ8', '', '132.55', '', '', '', '0', '', ''], ['RYH9', '', '132.53', '', '', '', '0', '', '']]
2017-09-28 16:15 Thu // ['23456', '2553', '71'] // ['RYZ7', '132.51', '132.64', '132.59', '132.97', '132.42', '2046', '23456', '71'] // [['RYZ7', '132.51', '132.64', '132.59', '132.97', '132.42', '2046', '23456', '71'], ['RYH8', '', '132.68', '', '', '', '0', '', ''], ['RYM8', '', '132.74', '', '', '', '0', '', ''], ['RYU8', '', '132.77', '', '', '', '0', '', ''], ['RYZ8', '', '132.75', '', '', '', '0', '', ''], ['RYH9', '', '132.73', '', '', '', '0', '', '']]
2017-09-29 16:15 Fri // ['23504', '2427', '257'] // ['RYZ7', '133.07', '132.64', '132.48', '133.18', '132.46', '2133', '23504', '257'] // [['RYZ7', '133.07', '132.64', '132.48', '133.18', '132.46', '2133', '23504', '257'], ['RYH8', '', '132.68', '', '', '', '0', '', ''], ['RYM8', '', '132.75', '', '', '', '0', '', ''], ['RYU8', '', '132.78', '', '', '', '0', '', ''], ['RYZ8', '', '132.77', '', '', '', '0', '', ''], ['RYH9', '', '132.75', '', '', '', '0', '', '']]
2017-10-02 16:15 Mon // ['23347', '2142', '0'] // ['RYZ7', '132.39', '133.01', '132.98', '133.13', '132.30', '2283', '23347', '0'] // [['RYZ7', '132.39', '133.01', '132.98', '133.13', '132.30', '2283', '23347', '0'], ['RYH8', '', '133.05', '', '', '', '0', '', ''], ['RYM8', '', '133.11', '', '', '', '0', '', ''], ['RYU8', '', '133.15', '', '', '', '0', '', ''], ['RYZ8', '', '133.21', '', '', '', '0', '', ''], ['RYH9', '', '133.11', '', '', '', '0', '', '']]
2017-10-03 16:15 Tue // ['23530', '2297', '0'] // ['RYZ7', '132.69', '132.38', '132.37', '132.97', '132.31', '1475', '23530', '0'] // [['RYZ7', '132.69', '132.38', '132.37', '132.97', '132.31', '1475', '23530', '0'], ['RYH8', '', '132.43', '', '', '', '0', '', ''], ['RYM8', '', '132.48', '', '', '', '0', '', ''], ['RYU8', '', '132.52', '', '', '', '0', '', ''], ['RYZ8', '', '132.52', '', '', '', '0', '', ''], ['RYH9', '', '132.51', '', '', '', '0', '', '']]
2017-10-04 16:15 Wed // ['23619', '1489', '0'] // ['RYZ7', '132.66', '132.77', '132.57', '132.92', '132.34', '1463', '23619', '0'] // [['RYZ7', '132.66', '132.77', '132.57', '132.92', '132.34', '1463', '23619', '0'], ['RYH8', '', '132.81', '', '', '', '0', '', ''], ['RYM8', '', '132.87', '', '', '', '0', '', ''], ['RYU8', '', '132.90', '', '', '', '0', '', ''], ['RYZ8', '', '132.90', '', '', '', '0', '', ''], ['RYH9', '', '132.88', '', '', '', '0', '', '']]
2017-10-05 16:15 Thu // ['23576', '1481', '0'] // ['RYZ7', '132.17', '132.73', '132.68', '132.82', '131.93', '1832', '23576', '0'] // [['RYZ7', '132.17', '132.73', '132.68', '132.82', '131.93', '1832', '23576', '0'], ['RYH8', '', '132.77', '', '', '', '0', '', ''], ['RYM8', '', '132.83', '', '', '', '0', '', ''], ['RYU8', '', '132.86', '', '', '', '0', '', ''], ['RYZ8', '', '132.86', '', '', '', '0', '', ''], ['RYH9', '', '132.84', '', '', '', '0', '', '']]
2017-10-06 16:15 Fri // ['23619', '1846', '0'] // ['RYZ7', '132.26', '132.18', '132.20', '132.85', '132.07', '4089', '23619', '0'] // [['RYZ7', '132.26', '132.18', '132.20', '132.85', '132.07', '4089', '23619', '0'], ['RYH8', '', '132.21', '', '', '', '0', '', ''], ['RYM8', '', '132.28', '', '', '', '0', '', ''], ['RYU8', '', '132.30', '', '', '', '0', '', ''], ['RYZ8', '', '132.30', '', '', '', '0', '', ''], ['RYH9', '', '132.26', '', '', '', '0', '', '']]
