2017-09-19 16:30 Tue // ['3015741', '449812', '8500'] // ['ZFZ7', '117.285', '117.302', '117.300', '118.010', '117.280', '474412', '2989105', '8500'] // [['ZFU7', '118.082', '118.095', '118.110', '118.120', '118.075', '5873', '26636', '0'], ['ZFZ7', '117.285', '117.302', '117.300', '118.010', '117.280', '474412', '2989105', '8500'], ['ZFH8', '', '117.225', '', '', '', '0', '', ''], ['ZFM8', '', '0', '', '', '', '0', '', '']]
2017-09-20 16:30 Wed // ['2980492', '531910', '0'] // ['ZFZ7', '117.220', '117.287', '117.285', '118.007', '117.187', '839505', '2956487', '0'] // [['ZFU7', '118.017', '118.080', '118.092', '118.112', '117.317', '1742', '24005', '0'], ['ZFZ7', '117.220', '117.287', '117.285', '118.007', '117.187', '839505', '2956487', '0'], ['ZFH8', '', '117.210', '', '', '', '0', '', ''], ['ZFM8', '', '0', '', '', '', '0', '', '']]
2017-09-21 16:30 Thu // ['2999465', '896258', '0'] // ['ZFZ7', '117.197', '117.207', '117.215', '117.245', '117.187', '715519', '2977991', '0'] // [['ZFU7', '117.317', '118.010', '118.017', '118.032', '117.317', '2577', '21474', '0'], ['ZFZ7', '117.197', '117.207', '117.215', '117.245', '117.187', '715519', '2977991', '0'], ['ZFH8', '', '117.130', '', '', '', '0', '', ''], ['ZFM8', '', '0', '', '', '', '0', '', '']]
2017-09-22 16:54 Fri // ['2979467', '768916', '0'] // ['ZFZ7', '117.235', '117.197', '117.192', '117.257', '117.192', '609031', '2959882', '0'] // [['ZFU7', '118.022', '117.317', '118.035', '118.035', '118.017', '2768', '19585', '0'], ['ZFZ7', '117.235', '117.197', '117.192', '117.257', '117.192', '609031', '2959882', '0'], ['ZFH8', '', '117.120', '', '', '', '0', '', ''], ['ZFM8', '', '0', '', '', '', '0', '', '']]
2017-09-25 16:13 Mon // ['2950341', '633855', '0'] // ['ZFZ7', '117.275', '117.222', '117.227', '117.295', '117.212', '589154', '2932380', '0'] // [['ZFU7', '118.052', '118.022', '118.057', '118.057', '118.030', '3464', '17961', '0'], ['ZFZ7', '117.275', '117.222', '117.227', '117.295', '117.212', '589154', '2932380', '0'], ['ZFH8', '', '117.145', '', '', '', '0', '', ''], ['ZFM8', '', '0', '', '', '', '0', '', '']]
2017-09-27 16:15 Wed // ['2975757', '660658', '0'] // ['ZFZ7', '117.190', '117.262', '117.250', '117.255', '117.150', '960236', '2962101', '0'] // [['ZFU7', '117.315', '118.062', '118.002', '118.010', '117.287', '2964', '13656', '0'], ['ZFZ7', '117.190', '117.262', '117.250', '117.255', '117.150', '960236', '2962101', '0'], ['ZFH8', '', '117.185', '', '', '', '0', '', ''], ['ZFM8', '', '0', '', '', '', '0', '', '']]
2017-09-28 16:15 Thu // ['2996265', '1055181', '12984'] // ['ZFZ7', '117.210', '117.180', '117.177', '117.217', '117.125', '791333', '2983630', '12984'] // [['ZFU7', '117.305', '117.307', '117.295', '117.305', '117.255', '1891', '12635', '0'], ['ZFZ7', '117.210', '117.180', '117.177', '117.217', '117.125', '791333', '2983630', '12984'], ['ZFH8', '', '117.102', '', '', '', '0', '', ''], ['ZFM8', '', '0', '', '', '', '0', '', '']]
2017-09-29 16:15 Fri // ['3007864', '850889', '18620'] // ['ZFZ7', '117.140', '117.212', '117.210', '117.225', '117.137', '1011284', '2996541', '18620'] // [['ZFU7', '118.000', '118.020', '117.300', '118.000', '117.300', '528', '11323', '0'], ['ZFZ7', '117.140', '117.212', '117.210', '117.225', '117.137', '1011284', '2996541', '18620'], ['ZFH8', '117.050', '117.135', '117.050', '117.050', '117.050', '5', '', ''], ['ZFM8', '', '0', '', '', '', '0', '', '']]
2017-10-02 16:15 Mon // ['2967840', '1091690', '9500'] // ['ZFZ7', '117.140', '117.160', '117.142', '117.170', '117.090', '642030', '2957178', '9500'] // [['ZFZ7', '117.140', '117.160', '117.142', '117.170', '117.090', '642030', '2957178', '9500'], ['ZFH8', '', '117.082', '', '', '', '0', '5', '0'], ['ZFM8', '', '117.082', '', '', '', '0', '', '']]
2017-10-03 16:15 Tue // ['2960674', '695659', '0'] // ['ZFZ7', '117.167', '117.145', '117.137', '117.177', '117.117', '516287', '2950012', '0'] // [['ZFZ7', '117.167', '117.145', '117.137', '117.177', '117.117', '516287', '2950012', '0'], ['ZFH8', '', '117.067', '', '', '', '0', '5', '0'], ['ZFM8', '', '117.067', '', '', '', '0', '', '']]
2017-10-04 16:15 Wed // ['2960992', '562556', '0'] // ['ZFZ7', '117.167', '117.162', '117.170', '117.212', '117.135', '549881', '2960987', '0'] // [['ZFZ7', '117.167', '117.162', '117.170', '117.212', '117.135', '549881', '2960987', '0'], ['ZFH8', '117.100', '117.085', '117.100', '117.100', '117.100', '4', '5', '0'], ['ZFM8', '', '117.085', '', '', '', '0', '', '']]
2017-10-05 16:15 Thu // ['2944148', '579943', '0'] // ['ZFZ7', '117.127', '117.162', '117.170', '117.180', '117.115', '514239', '2944139', '0'] // [['ZFZ7', '117.127', '117.162', '117.170', '117.180', '117.115', '514239', '2944139', '0'], ['ZFH8', '', '117.090', '', '', '', '11', '9', '0'], ['ZFM8', '', '117.090', '', '', '', '0', '', '']]
2017-10-06 16:15 Fri // ['2951030', '562962', '0'] // ['ZFZ7', '117.095', '117.125', '117.127', '117.137', '117.037', '925189', '2950810', '0'] // [['ZFZ7', '117.095', '117.125', '117.127', '117.137', '117.037', '925189', '2950810', '0'], ['ZFH8', '', '117.052', '', '', '', '1', '220', '0'], ['ZFM8', '', '117.052', '', '', '', '0', '', '']]
