2017-09-19 16:30 Tue // ['1501084', '249677', '0'] // ['ZTZ7', '107.310', '108.000', '107.315', '108.007', '107.310', '229103', '1487164', '0'] // [['ZTU7', '108.047', '108.052', '108.057', '108.057', '108.047', '1215', '13920', '0'], ['ZTZ7', '107.310', '108.000', '107.315', '108.007', '107.310', '229103', '1487164', '0'], ['ZTH8', '', '107.302', '', '', '', '0', '', ''], ['ZTM8', '', '0', '', '', '', '0', '', '']]
2017-09-20 16:30 Wed // ['1505108', '247072', '0'] // ['ZTZ7', '107.287', '107.312', '107.312', '108.005', '107.277', '276492', '1491800', '0'] // [['ZTU7', '108.022', '108.047', '108.055', '108.055', '108.022', '2707', '13308', '0'], ['ZTZ7', '107.287', '107.312', '107.312', '108.005', '107.277', '276492', '1491800', '0'], ['ZTH8', '', '107.295', '', '', '', '0', '', ''], ['ZTM8', '', '0', '', '', '', '0', '', '']]
2017-09-21 16:30 Thu // ['1510148', '325179', '0'] // ['ZTZ7', '107.277', '107.285', '107.285', '107.292', '107.277', '274833', '1498166', '0'] // [['ZTU7', '108.025', '108.027', '108.025', '108.032', '108.025', '1696', '11982', '0'], ['ZTZ7', '107.277', '107.285', '107.285', '107.292', '107.277', '274833', '1498166', '0'], ['ZTH8', '', '107.267', '', '', '', '0', '', ''], ['ZTM8', '', '0', '', '', '', '0', '', '']]
2017-09-22 16:54 Fri // ['1520258', '298833', '0'] // ['ZTZ7', '107.287', '107.280', '107.280', '107.295', '107.280', '245485', '1509006', '0'] // [['ZTU7', '108.027', '108.025', '108.030', '108.032', '108.027', '665', '11252', '0'], ['ZTZ7', '107.287', '107.280', '107.280', '107.295', '107.280', '245485', '1509006', '0'], ['ZTH8', '', '107.262', '', '', '', '0', '', ''], ['ZTM8', '', '0', '', '', '', '0', '', '']]
2017-09-25 16:13 Mon // ['1546035', '262053', '0'] // ['ZTZ7', '107.297', '107.285', '107.285', '107.305', '107.280', '232856', '1534808', '0'] // [['ZTU7', '', '108.030', '', '', '', '1643', '11227', '0'], ['ZTZ7', '107.297', '107.285', '107.285', '107.305', '107.280', '232856', '1534808', '0'], ['ZTH8', '', '107.267', '', '', '', '0', '', ''], ['ZTM8', '', '0', '', '', '', '0', '', '']]
2017-09-27 16:15 Wed // ['1589230', '335851', '0'] // ['ZTZ7', '107.277', '107.290', '107.285', '107.287', '107.265', '389704', '1579737', '0'] // [['ZTU7', '108.020', '108.032', '108.025', '108.025', '108.017', '1392', '9493', '0'], ['ZTZ7', '107.277', '107.290', '107.285', '107.287', '107.265', '389704', '1579737', '0'], ['ZTH8', '', '107.272', '', '', '', '0', '', ''], ['ZTM8', '', '0', '', '', '', '0', '', '']]
2017-09-28 16:15 Thu // ['1614899', '434847', '0'] // ['ZTZ7', '107.290', '107.275', '107.277', '107.295', '107.260', '298907', '1606253', '0'] // [['ZTU7', '108.030', '108.025', '108.015', '108.030', '108.010', '340', '8646', '0'], ['ZTZ7', '107.290', '107.275', '107.277', '107.295', '107.260', '298907', '1606253', '0'], ['ZTH8', '', '107.257', '', '', '', '0', '', ''], ['ZTM8', '', '0', '', '', '', '0', '', '']]
2017-09-29 16:15 Fri // ['1593225', '335371', '0'] // ['ZTZ7', '107.265', '107.292', '107.290', '107.292', '107.262', '479024', '1586007', '0'] // [['ZTU7', '108.025', '108.037', '108.020', '108.025', '108.020', '126', '7218', '0'], ['ZTZ7', '107.265', '107.292', '107.290', '107.292', '107.262', '479024', '1586007', '0'], ['ZTH8', '', '107.275', '', '', '', '0', '', ''], ['ZTM8', '', '0', '', '', '', '0', '', '']]
2017-10-02 16:15 Mon // ['1597962', '512487', '0'] // ['ZTZ7', '107.262', '107.272', '107.262', '107.272', '107.250', '258670', '1591026', '0'] // [['ZTZ7', '107.262', '107.272', '107.262', '107.272', '107.250', '258670', '1591026', '0'], ['ZTH8', '', '107.255', '', '', '', '0', '', ''], ['ZTM8', '', '107.255', '', '', '', '0', '', '']]
2017-10-03 16:15 Tue // ['1591755', '273396', '0'] // ['ZTZ7', '107.270', '107.265', '107.262', '107.275', '107.257', '240711', '1584819', '0'] // [['ZTZ7', '107.270', '107.265', '107.262', '107.275', '107.257', '240711', '1584819', '0'], ['ZTH8', '', '107.247', '', '', '', '0', '', ''], ['ZTM8', '', '107.247', '', '', '', '0', '', '']]
2017-10-04 16:15 Wed // ['1580756', '263777', '0'] // ['ZTZ7', '107.265', '107.267', '107.270', '107.282', '107.260', '267139', '1580756', '0'] // [['ZTZ7', '107.265', '107.267', '107.270', '107.282', '107.260', '267139', '1580756', '0'], ['ZTH8', '', '107.237', '', '', '', '0', '', ''], ['ZTM8', '', '107.237', '', '', '', '0', '', '']]
2017-10-05 16:15 Thu // ['1593051', '298281', '0'] // ['ZTZ7', '107.255', '107.265', '107.267', '107.270', '107.250', '269819', '1593051', '0'] // [['ZTZ7', '107.255', '107.265', '107.267', '107.270', '107.250', '269819', '1593051', '0'], ['ZTH8', '', '107.235', '', '', '', '0', '', ''], ['ZTM8', '', '107.235', '', '', '', '0', '', '']]
2017-10-06 16:15 Fri // ['1604294', '303978', '0'] // ['ZTZ7', '107.242', '107.255', '107.255', '107.257', '107.235', '418856', '1604294', '0'] // [['ZTZ7', '107.242', '107.255', '107.255', '107.257', '107.235', '418856', '1604294', '0'], ['ZTH8', '', '107.225', '', '', '', '0', '', ''], ['ZTM8', '', '107.225', '', '', '', '0', '', '']]
