2017-09-13 16:30 Wed // ['357762', '422188', '0'] // ['NQZ7', '6009.00', '6004.50', '6006.75', '6012.00', '5983.50', '228177', '228552', '0'] // [['NQU7', '6002.00', '5996.50', '5999.00', '6004.75', '5975.50', '75783', '129080', '0'], ['NQZ7', '6009.00', '6004.50', '6006.75', '6012.00', '5983.50', '228177', '228552', '0'], ['NQH8', '6017.50', '6013.00', '6007.25', '6017.50', '5990.25', '55', '105', '0'], ['NQM8', '6015.00', '6015.00', '6015.00', '6015.00', '6015.00', '1', '25', '0'], ['NQU8', '', '6020.00', '', '', '', '0', '', ''], ['NQZ8', '', '0.00', '', '', '', '0', '', '']]
2017-09-14 16:30 Thu // ['355608', '305275', '0'] // ['NQZ7', '5971.50', '6009.00', '6006.75', '6009.25', '5968.75', '282370', '253328', '0'] // [['NQU7', '5966.75', '6002.00', '6001.75', '6002.50', '5964.25', '69109', '102123', '0'], ['NQZ7', '5971.50', '6009.00', '6006.75', '6009.25', '5968.75', '282370', '253328', '0'], ['NQH8', '5980.00', '6017.50', '6010.00', '6011.00', '5975.00', '80', '132', '0'], ['NQM8', '5985.00', '6019.50', '6007.00', '6007.00', '5985.00', '3', '25', '0'], ['NQU8', '', '6024.50', '', '', '', '0', '', ''], ['NQZ8', '', '6031.50', '', '', '', '0', '', '']]
2017-09-15 16:30 Fri // ['358824', '356481', '0'] // ['NQZ7', '5994.50', '5970.75', '5971.75', '6015.75', '5948.00', '264301', '276501', '0'] // [['NQU7', '5974.00', '5966.25', '5965.25', '5978.25', '5945.25', '7727', '82159', '0'], ['NQZ7', '5994.50', '5970.75', '5971.75', '6015.75', '5948.00', '264301', '276501', '0'], ['NQH8', '6001.00', '5979.25', '5966.00', '6021.25', '5957.00', '227', '137', '0'], ['NQM8', '', '5981.25', '', '', '', '10', '27', '0'], ['NQU8', '', '5986.25', '', '', '', '0', '', ''], ['NQZ8', '', '5993.25', '', '', '', '0', '', '']]
2017-09-18 16:40 Mon // ['349583', '275980', '0'] // ['NQZ7', '5988.00', '5995.25', '5999.25', '6018.25', '5967.25', '228028', '271588', '0'] // [['NQZ7', '5988.00', '5995.25', '5999.25', '6018.25', '5967.25', '228028', '271588', '0'], ['NQH8', '5994.75', '6005.00', '6010.50', '6027.00', '5979.00', '408', '180', '0'], ['NQM8', '6003.25', '6007.00', '6029.75', '6030.25', '6003.25', '13', '37', '0'], ['NQU8', '', '6012.00', '', '', '', '0', '', ''], ['NQZ8', '6045.50', '6019.00', '6045.50', '6045.50', '6045.50', '2', '', '']]
2017-09-19 16:30 Tue // ['272639', '236145', '1500'] // ['NQZ7', '5996.75', '5986.75', '5989.75', '6004.75', '5975.00', '207384', '272263', '1500'] // [['NQZ7', '5996.75', '5986.75', '5989.75', '6004.75', '5975.00', '207384', '272263', '1500'], ['NQH8', '6007.25', '5997.00', '6000.50', '6013.50', '5988.00', '279', '256', '0'], ['NQM8', '6016.00', '5999.00', '6015.50', '6016.00', '6015.50', '4', '41', '0'], ['NQU8', '', '6004.00', '', '', '', '0', '', ''], ['NQZ8', '', '6011.00', '', '', '', '0', '2', '0']]
2017-09-20 16:30 Wed // ['264612', '212767', '1724'] // ['NQZ7', '5978.50', '5997.00', '5997.00', '6000.50', '5930.50', '344134', '264264', '1724'] // [['NQZ7', '5978.50', '5997.00', '5997.00', '6000.50', '5930.50', '344134', '264264', '1724'], ['NQH8', '5987.00', '6007.25', '6001.00', '6008.00', '5943.00', '554', '301', '0'], ['NQM8', '', '6017.50', '', '', '', '0', '45', '0'], ['NQU8', '', '6031.00', '', '', '', '0', '', ''], ['NQZ8', '', '6038.00', '', '', '', '0', '2', '0']]
2017-09-21 16:30 Thu // ['266133', '348061', '0'] // ['NQZ7', '5943.75', '5978.50', '5976.00', '5980.25', '5919.25', '340036', '265749', '0'] // [['NQZ7', '5943.75', '5978.50', '5976.00', '5980.25', '5919.25', '340036', '265749', '0'], ['NQH8', '5957.50', '5988.50', '5984.50', '5985.75', '5929.50', '467', '337', '0'], ['NQM8', '5977.75', '5998.75', '5972.50', '5977.75', '5972.50', '8', '45', '0'], ['NQU8', '', '6012.25', '', '', '', '0', '', ''], ['NQZ8', '', '6019.25', '', '', '', '0', '2', '0']]
2017-09-22 16:54 Fri // ['266259', '343882', '0'] // ['NQZ7', '5935.25', '5945.25', '5944.25', '5945.50', '5911.00', '270136', '265850', '0'] // [['NQZ7', '5935.25', '5945.25', '5944.25', '5945.50', '5911.00', '270136', '265850', '0'], ['NQH8', '5946.50', '5955.50', '5951.50', '5952.50', '5922.75', '581', '362', '0'], ['NQM8', '5937.75', '5965.75', '5937.75', '5937.75', '5937.75', '1', '45', '0'], ['NQU8', '', '5979.25', '', '', '', '0', '', ''], ['NQZ8', '', '5986.25', '', '', '', '0', '2', '0']]
2017-09-25 16:13 Mon // ['263593', '273234', '0'] // ['NQZ7', '5874.50', '5935.75', '5930.75', '5954.25', '5842.00', '435351', '263136', '0'] // [['NQZ7', '5874.50', '5935.75', '5930.75', '5954.25', '5842.00', '435351', '263136', '0'], ['NQH8', '5883.50', '5946.00', '5941.25', '5963.75', '5853.50', '833', '410', '0'], ['NQM8', '5892.00', '5955.75', '5932.25', '5932.25', '5892.00', '22', '45', '0'], ['NQU8', '', '5969.25', '', '', '', '0', '', ''], ['NQZ8', '', '5976.25', '', '', '', '0', '2', '0']]
2017-09-27 16:15 Wed // ['267660', '344171', '0'] // ['NQZ7', '5941.75', '5892.50', '5889.75', '5963.00', '5886.50', '344174', '267060', '0'] // [['NQZ7', '5941.75', '5892.50', '5889.75', '5963.00', '5886.50', '344174', '267060', '0'], ['NQH8', '5951.50', '5902.50', '5898.50', '5972.25', '5896.50', '812', '531', '0'], ['NQM8', '5935.25', '5912.25', '5945.00', '5949.00', '5924.25', '9', '67', '0'], ['NQU8', '', '5925.75', '', '', '', '0', '', ''], ['NQZ8', '', '5932.75', '', '', '', '0', '2', '0']]
2017-09-28 16:15 Thu // ['264573', '350109', '600'] // ['NQZ7', '5937.25', '5941.00', '5936.00', '5948.25', '5911.25', '263235', '263878', '600'] // [['NQZ7', '5937.25', '5941.00', '5936.00', '5948.25', '5911.25', '263235', '263878', '600'], ['NQH8', '5946.75', '5951.00', '5942.75', '5953.25', '5922.00', '568', '631', '0'], ['NQM8', '5950.00', '5960.75', '5933.25', '5950.00', '5931.75', '3', '62', '0'], ['NQU8', '', '5974.25', '', '', '', '0', '', ''], ['NQZ8', '', '5981.25', '', '', '', '0', '2', '0']]
2017-09-29 16:15 Fri // ['262782', '268698', '0'] // ['NQZ7', '5981.75', '5938.50', '5939.25', '5985.50', '5933.00', '261512', '262084', '0'] // [['NQZ7', '5981.75', '5938.50', '5939.25', '5985.50', '5933.00', '261512', '262084', '0'], ['NQH8', '5994.50', '5948.50', '5949.00', '5994.50', '5944.50', '423', '634', '0'], ['NQM8', '5960.00', '5958.25', '5960.00', '5960.00', '5960.00', '1', '62', '0'], ['NQU8', '', '5971.75', '', '', '', '0', '', ''], ['NQZ8', '', '5978.75', '', '', '', '0', '2', '0']]
