2017-09-21 09:20 Thu // ['3001723', '896258', '0'] // ['ZFZ7', '117.227', '117.207', '117.215', '117.235', '117.197', '305185', '2980249', '0'] // [['ZFU7', '118.030', '118.010', '118.017', '118.030', '118.015', '244', '21474', '0'], ['ZFZ7', '117.227', '117.207', '117.215', '117.235', '117.197', '305185', '2980249', '0'], ['ZFH8', '', '117.130', '', '', '', '0', '', ''], ['ZFM8', '', '0', '', '', '', '0', '', '']]
2017-09-22 09:20 Fri // ['2988705', '768916', '0'] // ['ZFZ7', '117.240', '117.197', '117.192', '117.247', '117.192', '209238', '2969120', '0'] // [['ZFU7', '118.035', '117.317', '118.035', '118.035', '118.035', '440', '19585', '0'], ['ZFZ7', '117.240', '117.197', '117.192', '117.247', '117.192', '209238', '2969120', '0'], ['ZFH8', '', '117.120', '', '', '', '0', '', ''], ['ZFM8', '', '0', '', '', '', '0', '', '']]
2017-09-25 09:27 Mon // ['2947623', '633855', '0'] // ['ZFZ7', '117.235', '117.222', '117.227', '117.265', '117.212', '184804', '2929662', '0'] // [['ZFU7', '118.032', '118.022', '118.057', '118.057', '118.030', '805', '17961', '0'], ['ZFZ7', '117.235', '117.222', '117.227', '117.265', '117.212', '184804', '2929662', '0'], ['ZFH8', '', '117.145', '', '', '', '0', '', ''], ['ZFM8', '', '0', '', '', '', '0', '', '']]
2017-09-27 09:27 Wed // ['2976628', '660658', '0'] // ['ZFZ7', '117.167', '117.262', '117.250', '117.255', '117.150', '433220', '2962972', '0'] // [['ZFU7', '117.290', '118.062', '118.002', '118.010', '117.287', '1725', '13656', '0'], ['ZFZ7', '117.167', '117.262', '117.250', '117.255', '117.150', '433220', '2962972', '0'], ['ZFH8', '', '117.185', '', '', '', '0', '', ''], ['ZFM8', '', '0', '', '', '', '0', '', '']]
2017-09-28 09:27 Thu // ['2998601', '1055181', '12984'] // ['ZFZ7', '117.170', '117.180', '117.177', '117.197', '117.125', '237281', '2985966', '12984'] // [['ZFU7', '117.285', '117.307', '117.295', '117.295', '117.255', '999', '12635', '0'], ['ZFZ7', '117.170', '117.180', '117.177', '117.197', '117.125', '237281', '2985966', '12984'], ['ZFH8', '', '117.102', '', '', '', '0', '', ''], ['ZFM8', '', '0', '', '', '', '0', '', '']]
2017-09-29 09:27 Fri // ['3008425', '850889', '18620'] // ['ZFZ7', '117.215', '117.212', '117.210', '117.225', '117.190', '234177', '2997102', '18620'] // [['ZFU7', '', '118.020', '', '', '', '310', '11323', '0'], ['ZFZ7', '117.215', '117.212', '117.210', '117.225', '117.190', '234177', '2997102', '18620'], ['ZFH8', '', '117.135', '', '', '', '0', '', ''], ['ZFM8', '', '0', '', '', '', '0', '', '']]
2017-10-02 09:27 Mon // ['2969097', '1091690', '9500'] // ['ZFZ7', '117.162', '117.160', '117.142', '117.165', '117.090', '281200', '2958435', '9500'] // [['ZFZ7', '117.162', '117.160', '117.142', '117.165', '117.090', '281200', '2958435', '9500'], ['ZFH8', '', '117.082', '', '', '', '0', '5', '0'], ['ZFM8', '', '117.082', '', '', '', '0', '', '']]
2017-10-03 09:27 Tue // ['2960346', '695659', '0'] // ['ZFZ7', '117.137', '117.145', '117.137', '117.150', '117.117', '204364', '2949684', '0'] // [['ZFZ7', '117.137', '117.145', '117.137', '117.150', '117.117', '204364', '2949684', '0'], ['ZFH8', '', '117.067', '', '', '', '0', '5', '0'], ['ZFM8', '', '117.067', '', '', '', '0', '', '']]
2017-10-04 09:27 Wed // ['2961697', '562556', '0'] // ['ZFZ7', '117.175', '117.162', '117.170', '117.212', '117.162', '208114', '2961692', '0'] // [['ZFZ7', '117.175', '117.162', '117.170', '117.212', '117.162', '208114', '2961692', '0'], ['ZFH8', '117.100', '117.085', '117.100', '117.100', '117.100', '4', '5', '0'], ['ZFM8', '', '117.085', '', '', '', '0', '', '']]
2017-10-05 09:27 Thu // ['2946990', '579943', '0'] // ['ZFZ7', '117.155', '117.162', '117.170', '117.180', '117.152', '141151', '2946981', '0'] // [['ZFZ7', '117.155', '117.162', '117.170', '117.180', '117.152', '141151', '2946981', '0'], ['ZFH8', '', '117.090', '', '', '', '11', '9', '0'], ['ZFM8', '', '117.090', '', '', '', '0', '', '']]
2017-10-06 09:27 Fri // ['2952736', '562962', '0'] // ['ZFZ7', '117.067', '117.125', '117.127', '117.137', '117.037', '438534', '2952516', '0'] // [['ZFZ7', '117.067', '117.125', '117.127', '117.137', '117.037', '438534', '2952516', '0'], ['ZFH8', '', '117.052', '', '', '', '1', '220', '0'], ['ZFM8', '', '117.052', '', '', '', '0', '', '']]
