('2017-09-22 19:22 Fri', [1, 3, 6, 9, 12, 24, 36, 48, 60, 72, 84, 96, 108, 120, 180, 240, 360], [-0.734, -0.731, -0.822, -0.679, -0.688, -0.689, -0.621, -0.467, -0.256, -0.145, -0.012, 0.128, 0.296, 0.449, 0.657, 0.946, 1.234])
('2017-09-22 19:27 Fri', [1, 3, 6, 9, 12, 24, 36, 48, 60, 72, 84, 96, 108, 120, 180, 240, 360], [-0.734, -0.731, -0.822, -0.679, -0.688, -0.689, -0.621, -0.467, -0.256, -0.145, -0.012, 0.128, 0.296, 0.449, 0.657, 0.946, 1.234])
('2017-09-22 19:28 Fri', [1, 3, 6, 9, 12, 24, 36, 48, 60, 72, 84, 96, 108, 120, 180, 240, 360], [-0.734, -0.731, -0.822, -0.679, -0.688, -0.689, -0.621, -0.467, -0.256, -0.145, -0.012, 0.128, 0.296, 0.449, 0.657, 0.946, 1.234])
('2017-09-22 19:30 Fri', [1, 3, 6, 9, 12, 24, 36, 48, 60, 72, 84, 96, 108, 120, 180, 240, 360], [-0.734, -0.731, -0.822, -0.679, -0.688, -0.689, -0.621, -0.467, -0.256, -0.145, -0.012, 0.128, 0.296, 0.449, 0.657, 0.946, 1.234])
('2017-09-22 19:31 Fri', [1, 3, 6, 9, 12, 24, 36, 48, 60, 72, 84, 96, 108, 120, 180, 240, 360], [-0.734, -0.731, -0.822, -0.679, -0.688, -0.689, -0.621, -0.467, -0.256, -0.145, -0.012, 0.128, 0.296, 0.449, 0.657, 0.946, 1.234])
('2017-09-22 19:36 Fri', [1, 3, 6, 9, 12, 24, 36, 48, 60, 72, 84, 96, 108, 120, 180, 240, 360], [-0.734, -0.731, -0.822, -0.679, -0.688, -0.689, -0.621, -0.467, -0.256, -0.145, -0.012, 0.128, 0.296, 0.449, 0.657, 0.946, 1.234])
('2017-09-22 19:40 Fri', [1, 3, 6, 9, 12, 24, 36, 48, 60, 72, 84, 96, 108, 120, 180, 240, 360], [-0.734, -0.731, -0.822, -0.679, -0.688, -0.689, -0.621, -0.467, -0.256, -0.145, -0.012, 0.128, 0.296, 0.449, 0.657, 0.946, 1.234])
('2017-09-22 19:42 Fri', [1, 3, 6, 9, 12, 24, 36, 48, 60, 72, 84, 96, 108, 120, 180, 240, 360], [-0.734, -0.731, -0.822, -0.679, -0.688, -0.689, -0.621, -0.467, -0.256, -0.145, -0.012, 0.128, 0.296, 0.449, 0.657, 0.946, 1.234])
('2017-09-22 19:48 Fri', [1, 3, 6, 9, 12, 24, 36, 48, 60, 72, 84, 96, 108, 120, 180, 240, 360], [-0.734, -0.731, -0.822, -0.679, -0.688, -0.689, -0.621, -0.467, -0.256, -0.145, -0.012, 0.128, 0.296, 0.449, 0.657, 0.946, 1.234])
('2017-09-22 19:50 Fri', [1, 3, 6, 9, 12, 24, 36, 48, 60, 72, 84, 96, 108, 120, 180, 240, 360], [-0.734, -0.731, -0.822, -0.679, -0.688, -0.689, -0.621, -0.467, -0.256, -0.145, -0.012, 0.128, 0.296, 0.449, 0.657, 0.946, 1.234])
('2017-09-22 19:52 Fri', [1, 3, 6, 9, 12, 24, 36, 48, 60, 72, 84, 96, 108, 120, 180, 240, 360], [-0.734, -0.731, -0.822, -0.679, -0.688, -0.689, -0.621, -0.467, -0.256, -0.145, -0.012, 0.128, 0.296, 0.449, 0.657, 0.946, 1.234])
('2017-09-22 19:54 Fri', [1, 3, 6, 9, 12, 24, 36, 48, 60, 72, 84, 96, 108, 120, 180, 240, 360], [-0.734, -0.731, -0.822, -0.679, -0.688, -0.689, -0.621, -0.467, -0.256, -0.145, -0.012, 0.128, 0.296, 0.449, 0.657, 0.946, 1.234])
('2017-09-22 19:56 Fri', [1, 3, 6, 9, 12, 24, 36, 48, 60, 72, 84, 96, 108, 120, 180, 240, 360], [-0.734, -0.731, -0.822, -0.679, -0.688, -0.689, -0.621, -0.467, -0.256, -0.145, -0.012, 0.128, 0.296, 0.449, 0.657, 0.946, 1.234])
